0	1	2	3	4	5	6	7	8	9	10
PCYT2	HS3ST6	TNFRSF9	PCDH17	HS3ST6	SLC12A3	DDR2	PLEC	FSCN1	CAV1	SNAI1
ADAMTS1	SLC12A3	DDR2	AL133163.2	CRKL	LINC02632	FSCN1	PCDH9	HCK	NGFR	CYYR1
SKI	HLA-DPB1	PLEC	AC022509.2	NPTX1	FAM124A	NOTCH1	PCYT2	COL18A1	TOB2	MT1M
LAMA3	NPTX1	EPPK1	MDC1	ATP8A2	RGS16	RBM20	DCDC2	PCDH9	NUP93	HMMR
VSTM1	FSTL3	RBM20	CCM2L	PCDH9	CYYR1	TNF	EFNA2	CYYR1	PECAM1	AL592464.3
INSIG1	ATP8A2	OBSCN	MAP1B	LINC02632	CCN2	EFNA2	THBS1	FAM83D	ING2	SLC12A3
NMU	PMAIP1	SKI	AC008393.1	HLA-DPB1	MYLIP	TTYH3	MT1B	USP35	DDR2	AGRN
NEFH	LINC02632	TOB1	DDR2	TEDC1	THBS1	FAM124A	CAV1	SLC12A3	SLC12A7	HLA-DPB1
MXRA7	SPSB1	MPP7-DT	DUSP5	SLC12A3	GADD45B	SNAI1	TEDC1	HLA-DPB1	CBX8	FUS
DLL4	ADAMTS5	NDE1	FAM83D	BHLHE40	MAP1B	FUS	SLC12A7	AGRN	CCN2	HS3ST6
NOTCH1	BAIAP2	MEIOB	LINC00426	SPSB1	HLA-DPB1	AL592464.3	SPSB1	FBXO5	FBXO5	FAM83D
CCNE2	AURKA	SLC16A10	FASN	PLEC	CHTF18	PCDH9	IFFO2	CHTF18	FSTL3	PCYT2
NPTX1	FAM83D	IQCE	EFNA1	PMAIP1	FASN	TEDC1	MYLIP	FUS	THBS1	MAFA
AURKA	MAFA	FASN	ING2	PPM1N	PCDH17	FASN	SKI	SNAI1	OBSCN	LINC02632
PCDH10	FSCN1	C4orf54	FBXO32	MAFA	HS3ST6	ELF3	NOTCH1	MT1H	MPP7-DT	PCDH9
MEGF6	TEDC1	KLF10	SNAPC1	TTYH3	ADAMTS1	HS3ST6	TOB2	TTYH3	DCDC2	ADAMTS1
CBX8	AGRN	SLC12A7	DLGAP1-AS2	EFNA1	TNFAIP3	AURKA	FSCN1	DUSP5	LINC01619	INSIG1
FASN	INSIG1	GNL1	NUP93	LINC00426	ING2	PECAM1	GREM1	NOTCH1	TOP2A	SPSB1
KLF10	RBM20	CASKIN1	GNL1	DCDC2	ACTN2	BAIAP2	EFNB2	RBM20	SPON1	PPM1N
TTYH3	PCYT2	ARL6IP1	MEGF6	GADD45B	PCDH9	ADAMTS1	PPM1N	ADAMTS1	SLC16A10	FAM124A
USP43	FAM124A	HS3ST6	FBXO5	PCYT2	SKI	GLS	BAIAP2	MAFA	PTTG1	FSCN1
HMMR	C13orf42	THBS1	TOB1	LAMA5	INTS1	LAMA5	AURKA	ERN1	SLC12A3	MDC1
MT1M	NXF1	PCDH17	BAIAP2	RBM20	PMAIP1	ATP8A2	SLIT2	CCN2	ANKRD1	RBM20
LAMA5	PPM1N	IFFO2	SNAI1	FAM83D	ATP8A2	PCYT2	TENT5C	SPSB1	ADAMTS1	BAIAP2
LINC00426	LINC00426	ATP8A2	LAMA5	INSIG1	PCYT2	MAFA	ADAMTS5	FAM124A	MDC1	HCK
HLA-DPB1	FASN	FSTL3	SKI	NOTCH1	EFNB2	PCDH17	RDH10	POLR2A	STPG3	FBXO5
C13orf42	ERN1	SLIT2	USP35	SKI	NEFH	HCK	NDE1	EFNA2	MAFA	LINC00426
SLC16A10	CCM2L	NGFR	NEFH	HCK	TOB1	LINC00426	USP35	TNFRSF9	CDK1	SLIT2
FAM124A	NOTCH1	COL18A1	SPSB1	SLIT2	PPM1N	THBS1	SNAI1	INSIG1	PCDH9	NEFH
LINC02632	HCK	ITGB8	CLSPN	ERN1	CCM2L	PLCH2	DUSP5	VSTM1	C4orf54	MATN4
FUS	OBSCN	RDH10	PLCH2	OBSCN	SLIT2	CCM2L	NPTX1	BAIAP2	FASN	CCM2L
MT1H	SLIT2	INTS6	PCYT2	TTLL10-AS1	FSCN1	AGRN	AL139106.1	SLIT2	TXLNB	ERN1
GREM1	POLR2A	NPTX1	INSIG1	MPP7-DT	PCDH10	AC008393.1	FBXO32	PPM1N	AC083973.1	TOB1
AL133163.2	NEFH	TM4SF1	FSCN1	TOB2	C13orf42	NUP93	ACTN2	PMAIP1	TTLL10-AS1	EFNA2
AC008393.1	MATN4	TXLNB	SLIT2	GATA2	FSTL3	TNFRSF9	ERO1B	TTLL10-AS1	PPM1N	AC008393.1
SMAD7	EFNA2	CBX8	LINC02632	TENT5C	GATA2	MXRA7	ID2	MATN4	PCDH17	NOTCH1
BAIAP2	PLEC	HLA-DPB1	NOTCH1	ACTN2	MAFA	CASKIN1	LINC00426	PCDH10	TEDC1	C13orf42
MAP1B	MDC1	MXRA7	CASKIN1	MATN4	INSIG1	LINC02632	COL18A1	ACTN2	CASKIN1	TNFRSF9
CYYR1	PCDH10	PPM1N	NUAK1	EFNA2	RBM20	PMAIP1	LINC02632	LINC02632	MXRA7	RDH10
C4orf54	TNFRSF9	STPG3	PMAIP1	CCM2L	TTYH3	ERN1	DLL4	TNF	TNFRSF9	MPP7-DT
AC010729.2	ACTN2	MATN4	COL18A1	CCNE2	SPSB1	FAM83D	LINC01619	MXRA7	LINC00426	THBS1
PCDH17	MAP1B	EFNA2	PPM1N	POLR2A	EFNA2	SLC16A10	ADAMTS1	C13orf42	MAP1B	ARHGAP9
SNAI1	HMMR	NEFH	EFNA2	FBXO5	POLR2A	TXLNB	CCM2L	TEDC1	NEFH	TOB2
PECAM1	PLCH2	LAMA3	RBM20	DDR2	CBX8	TOB1	AL592464.3	AL139106.1	NPTX1	PCDH10
TNF	ARHGAP9	CHTF18	ATP8A2	FSCN1	TEDC1	DUSP5	C4orf54	AC083973.1	AGRN	ACTN2
LINC01619	MPP7-DT	FSCN1	AURKA	CASKIN1	CAV1	PCDH10	PTX3	NDE1	HS3ST6	MYLIP
SLC12A3	TENT5C	TEDC1	TEDC1	BAIAP2	DLL4	MATN4	MT1M	CCM2L	RDH10	TTLL10-AS1
NGFR	TTLL10-AS1	AGRN	AGRN	ERO1B	HCK	PTX3	TNF	PCDH17	CYYR1	MEGF6
RBM20	MEGF6	NOTCH1	HLA-DPB1	PLCH2	TTLL10-AS1	CLSPN	CYYR1	AC010729.2	DLL4	PLCH2
THBS1	ERO1B	DLL4	TTYH3	PCDH17	NOTCH1	AL133163.2	CDC42EP3	CLSPN	SKI	ERO1B
GLS	IQCE	POLR2A	MAFA	FAM124A	GNL1	MAP1B	ARHGAP9	LINC00426	EPPK1	TENT5C
