0	1	2	3	4	5	6	7	8	9	10
DDR2	TRIB1	CRKL	AL139106.1	HMMR	TRIB1	TTLL10-AS1	MYC	AL590822.3	AC092053.3	PCYT2
NOTCH1	AL590822.3	PPP1R18	TNFAIP3	LINC02840	ELF3	LINC02632	BAIAP2	ARL6IP1	FTH1	LINC02632
MAFA	HOXA9	HIST1H2BJ	ACTN2	EPPK1	AMIGO2	AL592464.3	DCDC2	SOX9	HOXC13	SERTAD2
HIST1H2BJ	EPPK1	KLF9	PCDH17	FLNA	KLHL11	MAP1B	FAM83D	AL133163.2	HOXA9	FTH1
SEMA4A	LINC02840	PPP1R3B	TNFRSF9	NPTX1	AL592464.3	NPTX1	ENC1	SLC2A12	FBXO5	OBSCN
TNF	DUSP5	IFFO2	KLF9	ATP8A2	RGS16	PDE4C	TTYH3	CYYR1	ASPM	AGRN
LAMA5	CYYR1	SNAPC1	ENPP1	MAFA	LHX1	GLS	PLXNB2	ANKRD1	AC080112.4	FUS
ANKRD1	RGS16	IQCE	CA2	CYYR1	CACNA1E	EPPK1	LINC02632	FSTL3	PLEC	HOXA9
PPP1R18	FSTL3	DLGAP1-AS2	VSTM1	Z98884.1	CITED2	Z98884.1	SLC12A7	MYC	IRF1	ADAMTS1
CCN1	TUBB2A	ELAVL3	SMAD7	ARFRP1	SLC2A12	DDR2	TNFRSF9	BAIAP2	MYC	INTS1
SNAI1	INTS1	TOB1	DLL4	HOXC13	BHLHE41	CD47	GPR157	MAFA	SEMA4A	HOXC13
GLS	MAFA	TM4SF1	PPM1N	AL590822.3	CCN2	SNAPC1	UTS2	INTS1	KRT81	MAFA
AL592464.3	CHTF18	AC006994.2	DLGAP1-AS2	DCDC2	FSTL3	UTS2	AL592464.3	CELSR3	AL592464.3	FLNA
CYYR1	COL18A1	PCDH9	CCM2L	CHTF18	TNFAIP3	ARL6IP1	AURKAIP1	COL18A1	ADAMTS1	KRT81
RGS16	ATP8A2	COL18A1	PDE4C	FASN	EPPK1	CACNA1E	SNAI1	LINC02840	CLSPN	SNAPC1
VSTM1	Z98884.1	CCN2	NXF1	TUBB2A	TOB1	CLSPN	PDE4C	SKI	PTTG1	MEGF6
NUAK2	ADAMTS5	AC083973.1	EFNA1	ELF3	INTS1	PCDH9	FBXO5	RGS16	CCN2	NPTX1
OBSCN	NPTX1	AC092053.3	DDR2	PCDH9	LINC02632	SYNCRIP	IRF1	CHTF18	SLC12A7	TUBB2A
FBXO5	AC080112.4	TTLL10-AS1	INSIG1	PCYT2	SYNCRIP	ARFRP1	SKI	CCN2	CACNA1E	PLXNB2
KLF10	NR1D1	FLNA	SPSB1	LAMA5	AL590822.3	ATP8A2	NPTX1	UTS2	SYNCRIP	PMAIP1
NR1D1	PMAIP1	BAG3	FASN	AC100800.1	PMAIP1	LINC02840	TENT5C	LINC02632	IL6	DUSP5
LINC00426	DLGAP1-AS2	NGFR	AURKA	SKI	LINC02840	THBS1	MAFA	TTLL10-AS1	TEDC1	KLHL11
AL133163.2	OBSCN	RND3	NOTCH1	KLF9	PLEC	PCYT2	INTS6	TOP2A	FUS	EPPK1
MXRA7	CCN2	SLC39A10	HLA-DPB1	CCN2	ELAVL3	MAFA	CELSR3	SNAI1	ELAVL3	LINC02840
ARFRP1	PCDH9	CASKIN1	LINC00426	SPSB1	KLF9	ELAVL3	CLSPN	HOXA9	FAM124A	SNAI1
CCM2L	BAIAP2	LINC01619	MAP1B	MDC1	TEDC1	SPSB1	PAX8	CLSPN	TTLL10-AS1	AURKA
SOX9	ELF3	PDE4C	FBXO32	HOXA9	CYYR1	AL133163.2	DLX3	TM4SF1	SOX9	BAIAP2
SLC16A10	SNAI1	ARL6IP1	FAM83D	FSTL3	SMAD7	ASPM	KLHL11	CBX8	MDC1	ELF3
CACNA1E	CITED2	PPM1N	ING2	OBSCN	ATP8A2	FSTL3	MEIOB	DLL4	NGFR	SPSB1
ID2	NUP93	ADAMTS1	AGRN	KLHL11	UTS2	DLL4	NGFR	SPSB1	TOB1	TOB1
BAIAP2	CA2	DDR2	HOXC13	SNAI1	NUP93	TRIB1	INSIG1	VSTM1	KLF9	TRIB1
BAG3	MAP1B	PECAM1	PLXNB2	NR1D1	ADAMTS1	CIART	AGRN	INSIG1	ARL6IP1	CYYR1
TUBB2A	AURKA	Z98884.1	SNAI1	TEDC1	PCDH9	RGS16	CAV1	NOTCH1	EPPK1	FAM83D
CELSR3	FAM83D	LHX1	CELSR3	ING2	SKIDA1	LAMA5	TNF	BAG3	TENT5C	CCN2
MEIOB	UTS2	CELSR3	AL133163.2	PMAIP1	PDE4C	ENPP1	PPP1R3B	ADAMTS1	DLL4	SKI
