0	1	2	3	4	5	6	7	8	9	10
MSMO1	ATAD2	HMGCS1	TOP2A	FMR1	TRIM44	NIPBL	TM4SF1	OSBPL11	AURKA	CA2
LAPTM4B	CTH	MSMO1	CLDN1	USH2A	AR	NCAPD2	HMGCS1	ENAH	PLK1	KIF20B
PLK1	HELLS	FMR1	PLK1	TRIP11	CCN1	PCM1	CLDN1	E2F7	BOC	TOP2A
CA2	LAPTM4B	SMC1A	CTH	PRKCI	CA2	IGFBP2	CTH	RAI14	BAZ1A	CIP2A
TRIM44	FN1	CP	ENAH	TMCC3	TFPI2	SELENOP	CA2	NIPBL	TMCC3	TPX2
ITGB5	ANKRD1	BOC	CCN1	TP53INP1	PRKCI	FN1	MAL	FMR1	FMR1	PLK1
PGM2L1	CDC27	CDC27	INHBB	KLHL14	SLC7A5	KPNA2	CENPE	ITPR2	RAI14	CDK6
TM4SF1	FMR1	UBE2C	HJURP	PLAU	PGM2L1	ZNF148	DOC2B	SGO2	NIPBL	FLG
IGFBP2	USH2A	ITPR2	CCN2	DOC2B	TM4SF1	FMR1	PELI1	TM4SF1	ENAH	CENPE
NCAPD2	MSLN	CCNB1	TRIM44	SLC38A1	FN1	MKI67	NEURL1B	CCNB1	NCAPD2	NMU
PLAU	UBE2C	NUSAP1	LGR4	MEOX1	FHL2	MEOX1	CDK1	KLHL14	ITPR2	UBE2C
CLDN1	NCAPD2	CDK1	TRIP11	INHBB	NUSAP1	CDC27	UBE2C	CDK6	PELI1	ITGB5
SLC7A5	NUSAP1	HELLS	AURKA	NUSAP1	HMGCS1	TPX2	FHL2	TMEM100	TRIM44	KIF14
LMCD1	E2F7	SGO2	CDCA8	CA2	CTH	UBE2C	FN1	TRIM44	CA2	SGO2
CCN1	TPX2	PLK1	IGFBP2	FN1	ANKRD1	KIF20B	ENAH	ANKRD1	IGFBP2	PCM1
KLHL14	KPNA2	NCAPD2	KPNA2	CDK6	SELENOP	NMU	SLC38A1	FLG	AR	PELI1
TRIP11	MKI67	KPNA2	RAI14	MAL	PCM1	TOP2A	PLAU	BAZ1A	CDC27	SLC38A1
DOC2B	SMC4	ATAD2	VAV3	SELENOP	BOC	MSLN	CDCA8	HELLS	TM4SF1	CDK1
HMGCS1	SGO2	MKI67	CDK6	LGR4	CCDC6	CENPE	ANKRD1	SELENOP	PGM2L1	CDC27
TMCC3	CENPE	NEURL1B	TP53INP1	CP	TXNIP	CDK1	KPNA2	USH2A	SELENOP	ARHGAP29
MEOX1	CIP2A	CDCA8	NEURL1B	TMEM100	CP	CIP2A	HJURP	PLK1	CP	ASPM
ZNF148	KIF20B	E2F7	NCAPD2	MSLN	TTC3	HJURP	INHBB	CDC27	TRIP11	FN1
PELI1	CENPF	ASPM	SMC1A	ARHGAP29	PLAU	PLK1	CCNB1	NUSAP1	MYO10	SLC7A5
FHL2	ASPM	AURKA	PGM2L1	TTC3	CLDN1	NUSAP1	SLC7A5	LAPTM4B	PCM1	CDCA8
CDK6	PLK1	TOP2A	CA2	ITPR2	TP53INP1	CDCA8	CENPF	PELI1	ITGB5	CENPF
MAL	CDK1	HJURP	E2F7	BOC	TMEM100	CENPF	TFPI2	TTC3	ZNF148	ANKRD1
VAV3	AURKA	KIF20B	MAL	PGM2L1	LMCD1	ASPM	FLG	MSMO1	KLHL14	NEURL1B
CCDC6	CCNB1	KIF14	ITPR2	CTH	E2F7	SMC4	NUSAP1	VAV3	VAV3	LMCD1
BAZ1A	KIF14	TPX2	MYO10	FLG	VAV3	SGO2	SMC4	AR	PRKCI	CTH
PRKCI	TOP2A	CENPE	CCDC6	NMU	ATAD2	KIF14	CCN1	TXNIP	TP53INP1	CLDN1
LGR4	NEURL1B	DLGAP5	PRKCI	CCNB1	SMC1A	DLGAP5	OSBPL11	SLC38A1	LGR4	SMC4
ENAH	DLGAP5	CENPF	HMGCS1	AR	NMU	NEURL1B	CCN2	CCN1	CCDC6	MSLN
RAI14	HJURP	SMC4	FHL2	TXNIP	ARHGAP29	AURKA	ARHGAP29	CCN2	DOC2B	NUSAP1
MYO10	CDCA8	CIP2A	ATAD2	VAV3	HELLS	CCNB1	MSLN	ZNF148	MEOX1	CCNB1
