"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"ZFAS1"	1.04906448847376e-71	2.68020252256017	1	1	2.47694616373539e-67
"CDH6"	1.98983080667843e-70	-2.18551537796408	0.303	0.996	4.69818951764845e-66
"GAS5"	1.32334521941025e-69	2.04831206221119	1	0.996	3.12455039754954e-65
"ARHGAP29"	3.97963237920169e-68	-1.81908117255907	0.851	0.996	9.39631001053311e-64
"SNHG7"	4.4701052223558e-68	1.90927776958641	1	0.961	1.05543654405043e-63
"RAB11FIP4"	5.3212884518458e-68	-1.67631956262077	0.234	0.977	1.25640941636531e-63
"SCD"	1.78061791696925e-65	-1.80052239059375	0.495	1	4.20421696375608e-61
"SNHG9"	8.07691352776355e-65	1.23710546341212	1	0.981	1.90704005304025e-60
"SNHG17"	9.42464099611441e-65	1.8273832057492	0.995	0.571	2.22525198559257e-60
"PHGDH"	4.47067728833692e-63	-1.61730107100529	0.415	0.973	1.05557161454923e-58
"TPT1"	5.83322394513072e-63	-0.934603950185003	1	1	1.37728250568481e-58
"HMGCS1"	1.72081923760379e-62	-1.46783354365334	0.367	0.973	4.06302630190631e-58
"SNHG1"	1.77077696607896e-62	1.83423755024329	0.989	0.795	4.18098149460903e-58
"KLF10"	1.67709119847992e-61	1.68569773465808	0.872	0.143	3.95978002873095e-57
"SNHG5"	2.77834554767598e-61	1.31625855211797	1	1	6.55995167261776e-57
"BMP7"	3.89916017495353e-61	-1.33064876545968	0.665	1	9.20630708908279e-57
"TRHDE"	4.5344650067672e-61	-1.24779418409945	0.34	0.985	1.0706325327478e-56
"IDH1"	7.50862939459949e-61	-1.39666659579164	0.255	0.958	1.77286248635889e-56
"PRXL2A"	1.12028006520585e-60	-1.27489456295342	0.441	0.988	2.64509326195753e-56
"EPB41L4A-AS1"	1.92485082274092e-60	1.24175482497069	0.989	0.68	4.54476527757359e-56
"ATP5F1D"	2.37875087887238e-60	-1.23891949273893	0.723	1	5.61646870010559e-56
