"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPL37"	6.31565963615399e-81	0.300337160543966	1	1	1.49119039669232e-76
"RPL37A"	2.77810959154207e-78	0.304546238594929	1	1	6.55939455658998e-74
"RPS29"	1.62143823700781e-75	0.290458307241146	1	1	3.82837782139914e-71
"RPL39"	3.9679917657331e-74	0.296355003906794	1	1	9.36882535807243e-70
"RPS27"	3.43269910336018e-73	0.361319981365042	1	1	8.10494585294372e-69
"RPL41"	1.82637754963844e-67	0.267854465866142	1	1	4.31226003245131e-63
"SCD"	1.85921991418877e-65	0.562857326515014	1	1	4.3898041393911e-61
"RPS21"	1.51697559918611e-63	0.274133138606015	1	1	3.58173108723833e-59
"RPL34"	6.08991387592365e-59	0.309978048229189	1	1	1.43788956524433e-54
"TUBA1A"	1.19359541560907e-50	0.576753999192616	0.918	0.745	2.81819813579458e-46
"SNHG5"	8.27512524953638e-49	0.331804776326803	0.996	0.995	1.95383982266804e-44
"TMSB10"	1.11272815183298e-42	0.281879636394972	1	1	2.62726243929286e-38
"PEG10"	1.51929799039872e-36	0.469045105898463	0.944	0.842	3.58721448513041e-32
"NPC2"	3.76921705559187e-33	0.279717321573615	1	0.995	8.89949838995796e-29
"TTC3"	2.39690071150097e-29	0.282175868405132	1	0.997	5.65932226992493e-25
"FADS2"	6.47667892255357e-28	0.382597984751659	0.947	0.864	1.52920866040412e-23
"FASN"	2.88832754694977e-25	0.310112857074743	1	0.991	6.81963017110311e-21
"C4orf48"	9.33241612074688e-24	0.317465001242053	0.964	0.914	2.20347677026955e-19
"HMGCS1"	1.37913007018551e-23	0.46559098879811	0.992	0.973	3.25626400871501e-19
"TXNIP"	2.09641267874308e-23	0.451139626630292	0.683	0.425	4.94983997578029e-19
"MT-CO2"	2.60072060325198e-23	0.263284671677808	1	1	6.14056141633826e-19
"DST"	1.03772463779999e-22	0.337720357510555	0.897	0.783	2.45017164230956e-18
"FADS1"	2.07650359007586e-20	0.277614242469107	0.99	0.978	4.90283262652812e-16
"JPT1"	2.44299400829455e-19	-0.285719598177363	1	1	5.76815315298425e-15
"INSIG1"	3.00856471106794e-19	0.304025476407894	0.644	0.408	7.10352213930252e-15
"TSTD1"	1.70865979502597e-17	0.250753062438699	0.86	0.734	4.03431664203581e-13
"LAMA3"	4.87891871280188e-17	-0.322712981103624	0.68	0.858	1.15196149727965e-12
"DLL3"	2.02029933618612e-16	0.255884452150902	0.619	0.405	4.77012876266905e-12
"ALCAM"	2.24661612797371e-15	0.307618674341599	0.612	0.423	5.30448533975872e-11
"LSS"	4.72995703118244e-15	0.282155313193834	0.712	0.53	1.11679015463249e-10
"UPK1B"	6.57463181643872e-15	-0.27887173863312	0.798	0.917	1.55233631817935e-10
"FDFT1"	8.85520988837591e-15	0.261520269141477	0.985	0.97	2.09080360674444e-10
"TUBB2B"	1.59477692727618e-14	0.29369087259713	0.67	0.469	3.76542780299178e-10
"EFNB2"	3.04318823746106e-14	0.284452980884541	0.86	0.761	7.1852717474693e-10
"MSMO1"	5.551997679565e-14	0.311585259409803	0.912	0.864	1.31088217212209e-09
"SLC5A3"	1.19802036517146e-12	0.255905822042201	0.983	0.973	2.82864588420633e-08
"ITGB5"	1.99996330156018e-09	0.270656155356903	0.677	0.548	4.72211335131374e-05
"AR"	4.56251368320099e-08	0.252143550735041	0.421	0.294	0.00107725510574058
"SNHG25"	5.73589825163698e-08	0.263805860452603	0.96	0.947	0.00135430293619401
"CP"	1.56873917231367e-07	0.255022731560673	0.989	0.981	0.0037039500597498
"MT2A"	2.42751299084695e-07	0.259396158594718	0.885	0.853	0.00573160092268874
"TUBA4A"	3.45542010523879e-07	-0.252215907508358	0.796	0.864	0.00815859241047931
"FST"	5.25195071990771e-06	0.310486021244652	0.302	0.202	0.124003808447741
"PLCG2"	0.00101931217022353	-0.255392056173985	0.484	0.402	1
"CA2"	0.00204841143470843	0.262476597602818	0.327	0.255	1
