"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"ZFAS1"	0	2.30902202775804	1	1	0
"CDH6"	0	-2.20026861920218	0.355	0.995	0
"SNHG7"	7.50367087938827e-303	1.99343621604575	0.999	0.923	1.77169173133236e-298
"MT2A"	5.75394966813846e-302	3.46536261690998	0.999	0.821	1.35856505614417e-297
"TPT1"	6.62229709539939e-297	-1.07550891708642	1	1	1.56359056719475e-292
"RPS26"	1.45298888658985e-296	0.940602470306314	1	1	3.43065206012728e-292
"GAS5"	5.42731569533701e-295	1.92992624191269	1	0.979	1.28144350882602e-290
"RAB11FIP4"	5.574202126261e-294	-1.83394785355892	0.261	0.968	1.31612486403148e-289
"SNHG9"	2.62216715610841e-285	1.59987597610595	0.999	0.866	6.19119887228756e-281
"EEF1A1"	8.40073490435686e-282	-0.753186478013779	1	1	1.9834975182677e-277
"COPS9"	5.95869975787214e-278	0.882336895533626	1	0.998	1.40690859983119e-273
"POLR2L"	1.43118420507666e-277	1.01728774929957	1	0.999	3.37916902660649e-273
"ATP6V0B"	1.85402232313654e-277	1.06562783493413	1	0.989	4.37753210715769e-273
"MT-CO3"	2.09525236368145e-277	-1.55558108822043	0.999	1	4.94710035588827e-273
"ARHGAP29"	5.1638927428075e-277	-1.74223324293124	0.91	1	1.21924671550428e-272
"RPL38"	2.66812889577096e-275	0.674856526698372	1	1	6.29971913580481e-271
"SPON1"	1.53216704781914e-272	-1.53815321294886	0.726	0.996	3.61759961660577e-268
"MT-ND4"	1.62096647304348e-271	-1.45449082174665	0.999	1	3.82726393950296e-267
"RPL10A"	1.6475915869766e-270	-0.848673504546194	0.999	1	3.89012849601046e-266
"TENM3"	1.02735611807804e-269	-1.23278668911549	0.256	0.945	2.42569053039406e-265
"ATP5F1D"	2.56747588646222e-267	-1.20620660328534	0.775	1	6.06206731552594e-263
"MT-ATP6"	4.15175557569668e-267	-1.48208787162698	1	1	9.80271008977743e-263
"MT1X"	4.29935710275714e-267	2.7522199601761	0.982	0.684	1.01512120553199e-262
"EIF4G2"	5.12386336439844e-266	-1.07147281335867	0.986	1	1.20979537896812e-261
"RPS15"	1.10792826952404e-265	0.603836908136215	1	1	2.61592943717321e-261
"MT1F"	4.46211123447632e-265	1.84909038410864	0.97	0.459	1.0535490835722e-260
"MT-CYB"	5.74749985751366e-263	-1.28153060358712	0.999	1	1.35704219135755e-258
"SNHG6"	9.44892695672043e-261	0.950833777007588	1	0.998	2.23098614375126e-256
"JAK1"	1.33279154011599e-259	-1.26687590804477	0.701	0.998	3.14685410536787e-255
"PHGDH"	3.0779280921422e-257	-1.50586263986147	0.621	0.987	7.26729601835696e-253
"TRHDE"	2.93111479444116e-255	-1.3069033495971	0.467	0.982	6.92065514115503e-251
"CCNI"	1.42680800527661e-254	-0.951186468069962	0.972	1	3.36883638125861e-250
"PGLS"	8.7572205011923e-254	-1.15046690140712	0.494	0.989	2.06766733253651e-249
"RPL3"	1.01233716818458e-253	-0.640565089768893	1	1	2.3902292878006e-249
"EPB41L4A-AS1"	2.9725749987974e-251	1.3992449401283	0.986	0.654	7.01854682966055e-247
"TXNIP"	1.36666339991663e-250	1.93099101457659	0.952	0.292	3.22682895354315e-246
"MT-CO1"	2.11553697648524e-250	-1.2412847846982	0.999	1	4.9949943551793e-246
"IDH1"	3.79737269658597e-247	-1.33234435472338	0.252	0.915	8.96597667390912e-243
"RPS9"	4.7911086200556e-247	0.710423930535433	1	1	1.13122865628133e-242
"TM7SF2"	1.35477463987028e-245	-1.27704582569758	0.571	0.988	3.19875840219771e-241
"SCD"	4.04246438611678e-245	-1.4170620575641	0.67	0.985	9.54466266206034e-241
"MT-ND5"	2.50863174643322e-243	-1.2932970616111	0.977	0.999	5.92313041650348e-239
"PAX8"	3.92800475140623e-242	-1.2098761364039	0.712	1	9.27441201854526e-238
"MT-ND1"	4.85151343997542e-242	-1.15943459634928	1	1	1.1454908383126e-237
"SOX17"	3.67353034224123e-240	-1.22982788397877	0.232	0.897	8.67357249106577e-236
"UQCR10"	3.14526855504667e-239	0.68258804393401	1	1	7.42629358532069e-235
"SNHG5"	2.07887203772663e-237	0.914098274030698	0.998	1	4.90842476827633e-233
"TRHDE-AS1"	3.10115478873009e-233	-1.12266975580278	0.21	0.898	7.32213657167061e-229
"ID3"	8.14831771533762e-233	1.58797750128498	0.957	0.417	1.92389929576836e-228
"TIMM17A"	1.53208725517539e-232	0.805417413554097	0.999	0.968	3.6174112181946e-228
"MT-CO2"	5.88750550486483e-232	-0.971694579158405	1	1	1.39009892475364e-227
"MYO10"	1.51206511648811e-231	-1.16525047959849	0.693	0.995	3.57013694654008e-227
"LGALS3BP"	7.8647494573612e-229	-1.02661509923011	0.738	0.998	1.85694599437755e-224
"PPFIBP1"	1.23702374361664e-228	-1.12994026136658	0.866	0.999	2.92073676105325e-224
"MT-ND3"	1.81950612600755e-228	-1.01388512970115	0.998	1	4.29603591411643e-224
"NUDT16L1"	2.18959504942851e-226	1.22479353898817	0.976	0.697	5.16985287120565e-222
"BMP7"	2.97358778162894e-224	-1.23555460251425	0.82	0.994	7.02093811120408e-220
"RPS11"	6.53104510703461e-224	-0.651276853807073	1	1	1.54204506022194e-219
"CD47"	1.31600679180555e-223	-0.957926038142223	0.997	1	3.10722363613209e-219
"TSHR"	1.94223614003327e-223	-1.16188270228782	0.064	0.756	4.58581375023257e-219
"IFT57"	3.15680028410163e-223	-0.973214417130175	0.963	0.999	7.45352115079236e-219
"CLGN"	2.63820825236862e-222	-1.16204627271876	0.175	0.844	6.22907350466755e-218
"PRXL2A"	4.67713192367375e-222	-1.09685709521371	0.502	0.965	1.10431761849861e-217
"RPL24"	1.40838265258368e-221	0.602079104381945	1	1	3.32533228101532e-217
"MTHFD2"	3.22808478440789e-220	-1.29384003100269	0.625	0.971	7.62183098446547e-216
"NMU"	6.21270161883501e-220	-1.37159099351745	0.881	0.995	1.46688097922313e-215
"EIF5"	2.70026655258402e-219	1.04152382685582	1	0.977	6.37559935730614e-215
"BEX2"	1.09855835220724e-218	-1.06667568725339	0.763	0.993	2.59380612539651e-214
"PGM2L1"	2.15306921340712e-218	-1.35836179248966	0.497	0.954	5.08361171977554e-214
"HMGCS1"	2.67946692315756e-218	-1.51080185661541	0.446	0.931	6.32648935226732e-214
"CCNB1IP1"	1.96546194528014e-217	1.12987784140308	0.989	0.859	4.64065219900093e-213
"COX6A1"	7.97956836859671e-217	0.493417784514609	1	1	1.88405588750937e-212
"KCNQ1OT1"	9.4741897751698e-217	-1.4066294869796	0.501	0.956	2.23695094781534e-212
"RPLP0"	1.97013199375002e-216	-0.520420067891735	1	1	4.65167865044317e-212
"SLC34A2"	8.48970254317805e-215	-1.22911948543937	0.36	0.953	2.00450366746977e-210
"LSM3"	1.31093574949066e-214	0.715158022408792	1	0.994	3.0952503981224e-210
