"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"KLF10"	5.83121704620221e-114	2.58926915498296	1	0.104	1.3768086567788e-109
"AC095055.1"	3.33569088475071e-112	1.42196397486698	0.915	0.005	7.87589974798491e-108
"GADD45B"	1.61449864679395e-110	3.03311674363844	0.995	0.142	3.8119927549452e-106
"GATA2"	1.27642245499638e-109	1.73941117284251	0.967	0.067	3.01376105849195e-105
"KLK15"	2.11165142143188e-109	1.28516331962299	0.91	0.01	4.98582017114282e-105
"CSRNP1"	4.27556017232733e-103	1.33321624110461	0.953	0.08	1.00950251228821e-98
"PPP1R15A"	6.19959447969722e-101	1.75257086074211	0.986	0.172	1.46378625260131e-96
"MT1F"	8.36204224917904e-99	2.34157501804372	1	0.328	1.97436179545366e-94
"SNHG17"	5.70856941824744e-97	2.51539373735127	1	0.465	1.3478503253424e-92
"SNHG15"	6.62727742270242e-95	2.4913415620181	1	0.759	1.56476647227427e-90
"SNHG1"	5.2543654574053e-94	2.41108013106544	0.995	0.652	1.24060822814797e-89
"ZNF34"	4.89011561580709e-93	1.25523282196742	0.848	0.04	1.15460519804821e-88
"MT2A"	1.49589098359008e-92	4.38257957911705	1	0.94	3.53194820135453e-88
"NXF1"	2.62747814055865e-92	1.31378789468041	0.981	0.194	6.20373863767304e-88
"RSRC2"	3.07051624012652e-92	2.05820900490439	1	0.903	7.24979589456273e-88
"JUNB"	4.14200794689496e-92	2.03724686055256	0.995	0.848	9.77969496341369e-88
"MT1X"	5.47168128019993e-92	3.96793066631762	0.995	0.803	1.291918667068e-87
"ZFAS1"	5.78696200463083e-92	2.74208868853016	1	1	1.36635959891338e-87
"SLC30A1"	9.10662558728809e-92	1.68980546708395	0.957	0.177	2.15016536741459e-87
"SNHG12"	1.64954251282019e-91	1.50286626943843	0.934	0.137	3.89473482701976e-87
"GAS5"	1.93027604987634e-91	2.08863468606826	1	0.988	4.55757478136303e-87
"DLX2"	6.19752761650417e-91	1.22630639035597	0.844	0.047	1.4632982455328e-86
"TAF1D"	3.24598202454377e-89	1.71315520202352	0.991	0.751	7.66408815815029e-85
"SNAPC1"	7.36140666974236e-89	1.75875679640708	0.972	0.239	1.73810172879287e-84
"CLK4"	1.38634140197303e-88	1.16328331536916	0.91	0.104	3.27329068419852e-84
"BRD2"	1.61197169627644e-88	1.36484882795717	0.995	0.806	3.80602637207829e-84
"EPB41L4A-AS1"	2.0806355593712e-88	1.60058605386866	1	0.644	4.91258861923134e-84
"PRPF38B"	4.41415027106487e-88	1.48545900106652	1	0.848	1.04222502050113e-83
"TXNIP"	4.421880793738e-88	2.50636358994366	0.981	0.458	1.04405027420948e-83
"ARHGAP29"	5.52788985183707e-88	-1.71573336056963	0.957	1	1.30519007291725e-83
"PDRG1"	8.00764604726832e-88	1.3914395914117	0.972	0.249	1.89068530822052e-83
"CDH6"	2.3896779401328e-87	-1.98397517828925	0.384	0.998	5.64226858444756e-83
"TRA2B"	5.27169355629902e-87	1.51708206435872	1	0.938	1.24469956557776e-82
"PAX8"	6.57847594574643e-87	-1.63368686792504	0.346	1	1.55324395555019e-82
"NFKBIA"	7.78032713765479e-87	2.14658584542821	1	0.92	1.83701304047167e-82
"CCNL1"	8.13757830281695e-87	1.54811199630675	0.995	0.821	1.92136361307811e-82
"ATF4"	8.15034606460531e-87	1.42720730802215	1	0.983	1.92437820931396e-82
"HSPA8"	3.53127600484084e-85	-1.44701107273008	0.929	1	8.33769577502971e-81
"HNRNPDL"	1.37444169246243e-83	1.14258953313495	1	0.995	3.24519428007305e-79
"ATF3"	2.53934095505365e-83	1.28217128454809	0.848	0.082	5.99563792897717e-79
"SNHG6"	6.36216716374213e-83	1.18735212420847	1	1	1.50217128903116e-78
"RAB11FIP4"	1.0493478230308e-82	-1.35710310606216	0.147	0.96	2.47761514495801e-78
"STUB1"	1.38885151814966e-82	-1.17134419767705	0.768	1	3.27921731950316e-78
"EFNA1"	1.70246849980817e-82	1.63464777211792	0.957	0.261	4.01969837489708e-78
"TRA2A"	6.00157091048093e-82	1.43425868057994	0.976	0.299	1.41703090767365e-77
"ARPC1B"	8.26248138281116e-81	-1.22573232138586	0.929	1	1.95085447929554e-76
"EIF5"	1.49981865186146e-80	1.22986866278006	1	0.99	3.5412218189101e-76
"CXCL1"	3.34847978722115e-80	1.67665808962128	0.943	0.182	7.90609562560785e-76
"PHGDH"	3.93501934805297e-80	-1.43177268844094	0.773	0.995	9.29097418268787e-76
"CBR1"	7.58465228002671e-80	-1.29470880011528	0.242	0.98	1.79081224983711e-75
"RBM39"	2.42652599442825e-79	1.16384659507083	1	0.99	5.72927052544455e-75
"ADM"	1.41540800004807e-78	1.23979590826057	0.739	0.027	3.34191982891351e-74
"RPL38"	2.28548714585794e-78	0.893829021675321	1	1	5.39626370008519e-74
"BUD31"	3.20977456635028e-78	1.00209782372139	1	0.985	7.57859872860964e-74
"OSER1"	5.72297297412015e-78	1.31301521882793	0.995	0.876	1.35125114891951e-73
"HES1"	7.93927214116761e-78	1.75807640629052	0.943	0.236	1.87454154525108e-73
"IL6"	8.11429901474505e-78	1.16299178735715	0.749	0.037	1.91586714037145e-73
"RPS26"	8.24614111633191e-78	0.749954470800781	1	1	1.94699637897713e-73
"PFDN2"	2.28493978918168e-77	1.02065333841237	1	1	5.39497133623688e-73
"DDIT3"	2.37400397260671e-77	1.51690455768158	0.991	0.692	5.60526077972171e-73
"COX6A1"	2.88190527307061e-77	0.673142792488785	1	1	6.80446654024702e-73
"EID2"	7.55247516148732e-77	1.64381964939378	0.972	0.863	1.78321491037877e-72
"PPFIBP1"	1.5348309717783e-76	-1.26417810669865	0.725	0.995	3.62388940746574e-72
"ZNF706"	1.61651983560421e-76	-1.22627651573764	0.569	0.993	3.81676498384511e-72
"HSPE1"	2.76421259853927e-76	-1.01579628446507	0.986	1	6.52658236641106e-72
"JAK1"	3.88416783100293e-76	-1.1784180575892	0.545	0.998	9.17090866578101e-72
"SLC34A2"	6.03984582642933e-76	-1.26270135778458	0.175	0.965	1.42606799807823e-71
"LSM8"	6.18779294961104e-76	-1.1471655140851	0.313	0.978	1.46099979333266e-71
"RPL23A"	7.33982384586615e-76	0.73071563463742	1	1	1.73300580824746e-71
"SNHG8"	1.93584916639091e-75	1.22911730897044	1	0.998	4.57073346676558e-71
"AURKAIP1"	4.1662697429293e-75	-0.887943491698417	1	1	9.83697949003038e-71
"ID2"	7.86706124500938e-75	1.63011584933287	0.981	0.741	1.85749183055917e-70
"EEF1A1"	8.23000503520823e-75	-0.667637591355272	1	1	1.94318648886301e-70
"EPRS"	8.3368187154579e-75	-1.24574634275755	0.507	0.995	1.96840626690676e-70
"ID1"	9.24592952749762e-75	1.70360870800353	1	0.993	2.18305642073746e-70
"ZBTB21"	1.07055374493088e-74	1.03213101046435	0.848	0.119	2.5276844471563e-70
"TMEM223"	1.16839711493648e-74	-1.09615514514858	0.133	0.945	2.75870242807651e-70
"IDH1"	1.21561314549135e-74	-1.21520450209363	0.294	0.98	2.87018419781963e-70
"PRXL2A"	1.40054498285662e-74	-1.14323623594521	0.374	0.985	3.30682675902276e-70
"CENPL"	4.89909324968098e-74	1.16471199745409	0.938	0.239	1.15672490718218e-69
