"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"POLR2L"	3.00777426514771e-198	0.449541525894583	1	0.999	7.10165581744025e-194
"MT1X"	3.78096507714048e-166	0.621531886001514	1	0.999	8.9272366436364e-162
"MT2A"	1.52739696852789e-146	0.50826734221055	1	1	3.6063369823912e-142
"RPL36"	1.14135541546937e-135	0.348828976561084	1	1	2.69485427146473e-131
"B3GAT3"	3.80579297895182e-130	0.359567070558782	0.63	0.25	8.98585780260314e-126
"NDUFA6"	4.94200480462504e-129	0.362328302794922	0.993	0.973	1.16685675442002e-124
"RPLP2"	8.77667449508612e-129	0.27120127799392	1	1	2.07226061503478e-124
"TUBB4B"	1.48871929633734e-128	0.541214357237827	0.996	0.981	3.5150151305821e-124
"RPS15"	1.12017130579312e-127	0.280458093345063	1	1	2.64483647010815e-123
"COX8A"	2.0148985414478e-127	0.313384640580169	1	1	4.75737694621239e-123
"EIF3G"	2.36159641190866e-127	0.332320232918987	0.999	1	5.57596528815753e-123
"CSTB"	1.4305452827405e-120	0.335243187317313	1	0.999	3.37766046707859e-116
"GAPDH"	3.41479793506457e-120	0.280279075282331	1	1	8.06267940448095e-116
"COPS9"	2.30712579933183e-119	0.295551184834353	1	0.999	5.44735472480238e-115
"RPS26"	4.39045904443333e-115	0.263431869202429	1	1	1.03663128498115e-110
"RPL35"	2.31183200302944e-114	0.278374937868608	1	1	5.45846654235281e-110
"SPSB3"	3.9241714538413e-112	0.378105372436878	0.734	0.403	9.26536121966469e-108
"COPE"	7.77712799018432e-112	0.301721399685356	0.999	1	1.83625768976242e-107
"DYNLRB1"	1.66727991788316e-106	0.31773540070368	1	0.997	3.93661461411392e-102
"ATP5F1E"	3.44861737508436e-106	0.258398693339721	1	1	8.14253048431168e-102
"OAZ1"	4.80206709452086e-103	0.328418208394078	1	1	1.13381606168732e-98
"KRTCAP2"	4.42478643373512e-100	0.339611589649135	0.998	0.995	1.0447363248692e-95
"ATP5ME"	6.52841092944205e-100	0.30078411019714	1	1	1.54142310455056e-95
"MT1F"	5.04125167700612e-99	0.43268802535948	0.998	0.999	1.19028993345791e-94
"SNHG7"	8.99812589769031e-99	0.387795283011241	0.999	0.995	2.12454750570366e-94
"NUDT16L1"	9.20799155453066e-98	0.34227363043015	0.956	0.892	2.17409888594023e-93
"ATP5MF"	9.18002529204921e-97	0.294937351900429	1	1	2.16749577170574e-92
"MAF1"	3.09338589579121e-96	0.357589833308926	0.856	0.64	7.30379343855262e-92
"ERP29"	8.14869068153102e-96	0.330586028608714	0.968	0.891	1.92398735681629e-91
"ESRRA"	1.14738174922219e-95	0.30908392623524	0.535	0.224	2.70908304808851e-91
"DHX29"	2.05366660459087e-95	0.292607523973711	0.581	0.251	4.84891222009951e-91
"ATP5MG"	3.68949608785778e-95	0.250918365761269	1	1	8.71126921304099e-91
"SLC52A2"	8.37915547423656e-95	0.310487488564233	0.691	0.38	1.97840239902199e-90
"HMOX2"	3.74949892640163e-94	0.327326915470757	0.697	0.369	8.8529419151269e-90
"OST4"	9.84400534171258e-93	0.262042899161476	1	1	2.32426810123176e-88
"MRPS34"	1.20710651028283e-92	0.298696038780649	1	1	2.85009918142879e-88
"ATP5MPL"	2.08298767172763e-92	0.272220566754205	1	1	4.9181421917161e-88
"TNFRSF12A"	2.90730861110073e-92	0.369356360101941	0.922	0.834	6.86444636166993e-88
"DBI"	5.83644374502427e-92	0.300566773640282	0.999	0.995	1.37804273263768e-87
"UBAC1"	9.22535666396972e-91	0.272063883555202	0.533	0.228	2.17819896192989e-86
"TMED9"	1.04131635969734e-90	0.313020175951623	0.986	0.944	2.4586520568814e-86
