"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"NAA10"	3.66021151665819e-92	-1.03697369257839	0.637	0.995	8.64212541198165e-88
"COX6A1"	3.86774999094379e-92	0.548491508090544	1	1	9.13214450361738e-88
"MRPL12"	4.20455802545284e-92	-1.10153442586336	0.637	0.996	9.9273819538967e-88
"PFDN4"	8.02312198636547e-92	0.778622323358996	1	0.993	1.89433933220075e-87
"CHCHD10"	1.45693787574589e-91	-1.08546563062145	0.785	0.995	3.43997601842362e-87
"TMEM160"	2.83697579755897e-91	-1.02921013782534	0.568	0.984	6.69838355561648e-87
"PRPF38B"	2.95074117227499e-91	1.24952666719426	0.98	0.848	6.96699498185849e-87
"PPP1R14A"	3.32034674224804e-91	-1.13416811132091	0.406	0.978	7.83967069312184e-87
"ID1"	4.07619212383424e-91	1.6929140105688	1	1	9.62429722358501e-87
"PFDN2"	5.82163447072981e-91	0.828432374322104	1	1	1.37454611488402e-86
"ATP5F1A"	1.80947113020622e-90	-0.930695051185904	0.812	0.998	4.27234228552991e-86
"TENM3"	2.16908016382008e-90	-0.970502499864302	0.191	0.904	5.1214151747956e-86
"HOXC13"	3.19129024679893e-90	0.88012256443418	0.7	0.06	7.53495540171697e-86
"RSF1"	2.03726933216246e-89	0.960373223665239	1	1	4.81019662016877e-85
"KCNK15"	5.20863870408391e-89	-1.13466219272341	0.323	0.942	1.22981168442125e-84
"NTHL1"	5.8829649099826e-89	-1.03908744012107	0.65	0.995	1.38902684489599e-84
"EIF3K"	1.02067020658622e-88	-0.765710562071017	1	1	2.40990442477072e-84
"OVOL1"	1.16827404355958e-88	0.813341329466174	0.637	0.025	2.75841184424852e-84
"TM7SF2"	2.32457350370391e-88	-1.0890064273187	0.409	0.96	5.4885504995953e-84
"BRIX1"	2.34931926236799e-88	0.994644207989344	1	0.985	5.54697771037706e-84
"SOX17"	2.47059756070487e-88	-1.10337340411624	0.271	0.915	5.83332790058027e-84
"EMX2"	5.43587395411252e-88	-1.02786078845796	0.564	0.982	1.28346419930551e-83
"CNBP"	1.31653808115973e-87	0.883368089869379	1	1	3.10847806342623e-83
"CBR1"	1.69604303207655e-87	-0.979634756962889	0.403	0.964	4.00452720303595e-83
"NXF1"	5.17011757497216e-87	1.00480133476485	0.868	0.258	1.22071646062668e-82
"DCDC2"	8.09622127546003e-87	-0.969371046475713	0.185	0.882	1.91159880534887e-82
"RPS17"	2.03476786110193e-86	0.580224766312972	1	1	4.80429039684778e-82
"SNHG12"	2.5470269843343e-86	1.45217552306914	0.815	0.194	6.01378541271171e-82
"SLC50A1"	2.69914185627502e-86	-0.9562617740112	0.627	0.989	6.37294383685096e-82
"FAU"	3.4214733865246e-86	0.443895672664333	1	1	8.07844081292323e-82
"SNHG9"	4.7928059015794e-86	1.21377470308183	0.974	0.853	1.13162940142191e-81
"BEX3"	5.5724007121579e-86	-0.816927379264556	0.987	1	1.3156995321476e-81
"MYO10"	9.6714337232101e-86	-1.05037026676601	0.673	0.998	2.28352221638714e-81
"MAL2"	1.71630434511002e-85	-0.908289380656914	0.835	1	4.05236618923928e-81
