"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"GOLGA4"	3.81665466106608e-23	0.474568447255821	1	0.867	9.01150332024313e-19
"CLDN3"	3.85252935541967e-23	0.481299958089566	0.99	0.872	9.09620706108139e-19
"NOL7"	4.89652140916118e-23	0.345403221372744	0.99	0.963	1.15611766991705e-18
"PA2G4"	5.47691342594465e-23	0.298422732590065	1	1	1.29315402899979e-18
"VAMP8"	1.32377589415372e-22	0.354704454001833	1	0.995	3.12556726368635e-18
"NDUFA6"	2.89332884645163e-22	0.355990217588532	0.99	0.98	6.83143873935695e-18
"DDX24"	3.73077276748277e-22	0.372098761948431	0.99	0.934	8.80872758130357e-18
"HLTF"	4.2709491044795e-22	0.451519698775811	0.814	0.502	1.00841379305866e-17
"SMC3"	4.40780836219976e-22	0.447529159697918	0.933	0.77	1.04072763239898e-17
"SRRM1"	4.82341404317484e-22	0.359419864294987	0.99	0.975	1.13885628973401e-17
"ARID4B"	6.84671038079468e-22	0.426864298507473	0.976	0.863	1.61657678800943e-17
"HNRNPA2B1"	1.07100896501722e-21	0.357104784620444	1	1	2.52875926730215e-17
"RPS18"	2.01480404010902e-21	0.258485727503501	1	1	4.75715381910141e-17
"NDUFA8"	2.0652319537331e-21	0.363505974506994	0.976	0.922	4.87621916595921e-17
"HSP90B1"	2.98575509038795e-21	0.391013533483791	0.995	0.957	7.04966634391499e-17
"SLC25A5"	3.36733689622139e-21	0.297228101278264	1	1	7.95061914566832e-17
"TXNIP"	3.64607780527513e-21	0.508928220438639	0.99	0.972	8.60875430603511e-17
"PSMD12"	3.91743904204421e-21	0.364449139911406	0.99	0.947	9.24946532217059e-17
"NDUFS5"	5.56102833104629e-21	0.275917065303963	1	1	1.31301439924334e-16
"NAP1L1"	7.84235648101334e-21	0.316218593504602	1	0.991	1.85165878873206e-16
"NOC3L"	7.8600122760154e-21	0.420206734426625	0.867	0.624	1.85582749849e-16
"HMGB1"	9.79275603857923e-21	0.262380732556452	1	1	2.31216762826894e-16
"DDX27"	1.29264704537601e-20	0.40721724818847	0.99	0.915	3.0520689388373e-16
"RTF2"	1.38821850284315e-20	0.34136516901038	0.986	0.922	3.27772270706297e-16
"ATRX"	1.50524206455076e-20	0.443337585092221	0.99	0.924	3.55402703861081e-16
"ESF1"	2.92619842544136e-20	0.376803952647124	0.971	0.878	6.90904710230958e-16
"PRRC2C"	2.95822209269129e-20	0.332976815344489	1	0.995	6.98465818305339e-16
"CEP350"	3.00667208958093e-20	0.472598760307789	0.848	0.601	7.09905347070953e-16
"EIF3G"	4.47930048588202e-20	0.291045429758157	1	0.998	1.0576076377216e-15
"ZNF292"	4.76404706443104e-20	0.452137473742082	0.919	0.715	1.12483915238281e-15
"MRPS23"	4.77735739926991e-20	0.315100684038498	0.995	0.988	1.12798185554162e-15
"MAGOH"	5.37890572124282e-20	0.416944301106184	0.99	0.906	1.27001342984264e-15
"PEBP1"	6.27456351894201e-20	0.37778083361151	0.981	0.84	1.4814871924574e-15
"ATP5IF1"	1.02410245097096e-19	0.286031050400699	1	0.998	2.41800829698754e-15
"CBX1"	1.14727494763341e-19	0.359025121283686	0.981	0.947	2.70883087885724e-15
"KIF20B"	1.93416010870905e-19	0.408567882602218	0.852	0.583	4.56674543267294e-15
"RAD50"	2.05377594467976e-19	0.378270430888249	0.967	0.848	4.84917038298338e-15
"NDFIP1"	2.25997314514843e-19	0.351459573786136	0.967	0.826	5.33602259300997e-15
"TCEA1"	2.40330191348119e-19	0.374012224724456	1	0.952	5.67443614792043e-15
"NIPBL"	2.45293591917284e-19	0.40873014853136	0.981	0.918	5.791626998759e-15
"SCAND1"	2.89852662046748e-19	0.386840980247843	0.971	0.887	6.84371120358577e-15
"ANKRD12"	3.11503948027013e-19	0.375792484491948	0.971	0.846	7.3549197168658e-15
"ISG15"	3.49162626663497e-19	0.44088424610504	0.9	0.617	8.24407877815182e-15
"MRPL41"	4.12471907418749e-19	0.359852332390378	0.995	0.989	9.73887420606408e-15
"TPR"	4.73086633989891e-19	0.4288505483414	0.743	0.447	1.11700485151353e-14
"CCT8"	6.66302986213311e-19	0.335080848055654	1	0.984	1.57320798074825e-14
"ERP29"	7.7736027134626e-19	0.35497600427805	0.971	0.885	1.83542533667565e-14
"MT-ND3"	8.10738954831116e-19	0.465896767595461	1	0.984	1.91423574625175e-14
"QPRT"	8.93493612230953e-19	0.388355534317926	0.995	0.936	2.1096277678385e-14
"KDELR1"	9.06137537113299e-19	0.346471550764966	0.962	0.824	2.13948133887821e-14
"COX7A2L"	9.7656298276661e-19	0.278146986898107	1	1	2.30576285861024e-14
"TAX1BP1"	1.31608975458799e-18	0.365317965016433	0.962	0.872	3.10741951955771e-14
"MTRNR2L1"	2.27907507394285e-18	0.44191746182162	0.79	0.509	5.38112415708645e-14
"HPF1"	3.24090601475184e-18	0.382599001418452	0.824	0.562	7.65210319143058e-14
"TXN"	3.41660405479921e-18	0.277527374439904	0.995	1	8.06694383378641e-14
"UBE2T"	4.010798004499e-18	0.38871267003812	0.843	0.596	9.46989516842258e-14
"BDP1"	4.3436988862272e-18	0.440220981177965	0.943	0.791	1.0255907440271e-13
"BRK1"	4.48403150522085e-18	0.3024219752504	0.99	0.988	1.0587246786977e-13
"APEX1"	4.79492085394078e-18	0.331426218196879	0.976	0.917	1.13212876282396e-13
"RAB2A"	4.91430075504727e-18	0.308057310166296	0.986	0.931	1.16031555127421e-13
"TARS"	5.12768602907916e-18	0.343126848561402	0.976	0.941	1.21069794832588e-13
"NSA2"	8.39874767906108e-18	0.270474016453204	1	0.986	1.98302831450311e-13
"VRK1"	1.06060533913732e-17	0.36522863799436	0.881	0.647	2.50419526623712e-13
"NASP"	1.47562035188731e-17	0.40671745642463	0.795	0.56	3.48408721284112e-13
"WDR43"	1.62028757502939e-17	0.33286757589117	0.986	0.957	3.82566099340189e-13
"EIF3I"	1.84223960133618e-17	0.284554101449736	1	0.998	4.34971192271486e-13
"CISD1"	1.8769646432233e-17	0.335061937636202	0.995	0.941	4.43170121911454e-13
"PTMS"	1.9706759067053e-17	0.301268565475771	1	0.982	4.65296288332189e-13
"MT-ND5"	2.07045170110396e-17	0.651012270146064	0.895	0.746	4.88854351147657e-13
"CCDC47"	2.57089201444049e-17	0.304058865633442	0.995	0.988	6.07013313529545e-13
"EIF5B"	2.62860746725574e-17	0.319041337825977	1	0.991	6.20640509093752e-13
"NDUFB4"	3.75196418977079e-17	0.251538081172552	1	1	8.85876264846782e-13
"ANXA7"	3.78954546811859e-17	0.387000679101773	0.79	0.569	8.94749580477481e-13
"USP14"	3.90063262148361e-17	0.348235647553911	0.943	0.823	9.20978368258495e-13
"CCAR1"	4.03638216890315e-17	0.335908828061794	1	0.929	9.53030193899723e-13
"PAK2"	4.34148870668296e-17	0.337029328454848	0.995	0.952	1.02506889853491e-12
"DYNLRB1"	4.57178675678931e-17	0.301337453553339	0.995	0.996	1.07944457114552e-12
"HNRNPK"	4.62334129537599e-17	0.303367524091698	1	0.984	1.09161711325123e-12
"ORC6"	4.79128548853876e-17	0.356809615004857	0.871	0.644	1.13127041669889e-12
"MT-CO3"	4.93235605307165e-17	0.421763895385884	1	0.988	1.16457858769075e-12
"NUTF2"	5.28187420372942e-17	0.363486554540508	0.967	0.867	1.24710331824255e-12
"MT-ND4"	5.29100430909705e-17	0.432021421241466	1	0.988	1.24925902742091e-12
"ZC3H13"	5.73302398667542e-17	0.36038573039066	0.905	0.734	1.35362429349393e-12
"CIAO2B"	6.32969913855518e-17	0.292359161860321	1	0.996	1.49450526360426e-12
"KIF2A"	6.53809770047841e-17	0.376593391448978	0.862	0.628	1.54371024805996e-12
"RNMT"	6.61989287715068e-17	0.299459578308459	0.995	0.947	1.56302290722405e-12
"NDUFB3"	7.81786265980155e-17	0.267551145764783	1	0.998	1.84587555260574e-12
"LRRC75A"	8.20428111909941e-17	0.704898411743911	0.8	0.633	1.93711281503056e-12
"EIF3A"	8.79380440611616e-17	0.31564971638672	1	0.996	2.07630515832809e-12
"CCT3"	1.07348405565713e-16	0.29906134271383	1	0.991	2.53460320381204e-12
"KRTCAP2"	1.2040706065664e-16	0.274484074262876	1	0.995	2.84293110916393e-12
"SLC25A36"	1.29963749068805e-16	0.405892459568023	0.952	0.871	3.06857407926356e-12
"JUN"	1.52650859512266e-16	0.437466584703523	0.971	0.887	3.60423944394412e-12
"LARS"	1.56193708714432e-16	0.376851643850924	0.905	0.741	3.68788965645645e-12
"FAM162A"	1.9903720514967e-16	0.320571274676642	1	0.966	4.69946745078885e-12
"SNRPB"	2.44837409407153e-16	0.27326210760701	1	0.995	5.78085607351229e-12
"ATP6V1F"	3.24421437759873e-16	0.285050159376641	0.995	0.979	7.65991456694836e-12
"H1FX"	3.33940084322399e-16	0.2969502889234	0.995	1	7.88465933093616e-12
"ANAPC11"	3.98196895416005e-16	0.258550673591452	1	1	9.40182689766729e-12
"SSR4"	4.4322908357969e-16	0.269948956465758	1	1	1.04650818924001e-11
"RTRAF"	4.63953283459892e-16	0.292061062927341	0.986	0.947	1.09544009757715e-11
"CHMP5"	4.78062310378889e-16	0.306749709591303	0.986	0.972	1.12875292103559e-11
"TUFM"	5.14161167525415e-16	0.282267623460964	0.99	0.988	1.21398593264426e-11
"MRPL3"	5.44962098168899e-16	0.307817880979902	1	0.977	1.28671000998659e-11
"SNX6"	5.67122696629123e-16	0.303921610317222	0.962	0.867	1.33903339901102e-11
"SPAG9"	6.3743168175763e-16	0.363686753722396	0.857	0.676	1.50503994379794e-11
"SDF2"	6.54472025742161e-16	0.368082202836462	0.786	0.543	1.54527389997982e-11
"NQO1"	7.8620120432833e-16	0.386090960430052	0.81	0.566	1.85629966353962e-11
"KIF1BP"	8.1730442818401e-16	0.332629110093694	0.652	0.353	1.92973748538527e-11
"SMCHD1"	8.25837597927546e-16	0.39159544671236	0.938	0.791	1.94988515246673e-11
"SKAP2"	8.38557398644919e-16	0.378012642966695	0.848	0.598	1.97991787394052e-11
