"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"CDH6"	6.28768335007361e-243	-2.6822588586072	0.181	1	1.48458491578588e-238
"KLF10"	2.35483962916863e-242	1.99536817543267	0.966	0.19	5.56001184843006e-238
"SNHG17"	3.29277937048783e-240	2.10103543492418	1	0.526	7.77458137165882e-236
"ARHGAP29"	7.09647571006927e-233	-1.98806609623666	0.95	1	1.67554887990446e-228
"SNHG7"	4.7528491891452e-231	1.91166375907552	1	0.941	1.12219522204907e-226
"GAS5"	5.56531434627451e-231	2.07077391967389	1	0.994	1.31402637029887e-226
"EPB41L4A-AS1"	4.72699947829767e-229	1.47886637970311	1	0.677	1.11609184682086e-224
"ZFAS1"	1.03101158756383e-228	2.32515923060603	1	1	2.43432145939696e-224
"SPON1"	1.10258878825404e-222	-1.69702950833844	0.819	1	2.60332238794662e-218
"TXNIP"	2.21145073568238e-221	2.07461342628604	0.997	0.582	5.22145633201966e-217
"GATA2"	3.15332715286729e-221	1.59214649864954	0.938	0.21	7.44532074063497e-217
"MT2A"	6.62212657685028e-221	2.95911017601207	0.997	0.833	1.56355030606012e-216
"TRHDE"	5.54993563875519e-219	-1.58566809945935	0.266	0.991	1.31039530366649e-214
"RAB11FIP4"	2.33168054386207e-218	-1.79003127542543	0.16	0.972	5.50533093211274e-214
"SNHG15"	2.19479032086905e-216	1.74928538747276	0.998	0.716	5.1821194266039e-212
"SCD"	9.19595957497836e-216	-1.65938886487219	0.841	0.997	2.17125801524814e-211
"PAX8"	9.37182370728055e-216	-1.51382657866025	0.707	1	2.21278129552601e-211
"IDH1"	1.64275863495973e-215	-1.51032013092651	0.191	0.978	3.87871741300342e-211
"AC095055.1"	2.5513600878167e-215	1.01324091664958	0.767	0.005	6.02401630334401e-211
"ID3"	2.24382292873695e-214	1.64970376904732	0.983	0.423	5.29789031704082e-210
"HMGCS1"	3.75746694162184e-214	-1.79311000668796	0.295	0.98	8.87175519586332e-210
"RSRC2"	4.22758142788863e-214	1.54286557710751	1	0.908	9.98174250938784e-210
