"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPS21"	1.60315212606251e-29	0.32611165312646	1	1	3.7852024848462e-25
"RPL39"	3.94470202720898e-28	0.305871959984536	1	1	9.31383595644312e-24
"RPL37A"	4.14621848155971e-27	0.302673864846745	1	1	9.78963645681062e-23
"RPS27"	4.9055675269709e-26	0.345665871581816	1	1	1.1582535487931e-21
"RPL37"	8.10145749751593e-26	0.306396908953782	1	1	1.91283512973849e-21
"SNHG25"	4.04749414048009e-25	0.478268997008536	1	1	9.55653841508753e-21
"RPL34"	5.05265066181918e-23	0.336284238358008	1	1	1.19298134776213e-18
"RPL41"	4.90829606015625e-22	0.262189955237981	1	1	1.15889778276349e-17
"RPS29"	6.44294081853532e-22	0.26018012149577	1	1	1.52124275666437e-17
"RPS28"	3.62853715545064e-20	0.251806207910082	1	1	8.5673390777345e-16
"SCD"	1.10874841467343e-18	0.497664105037743	1	1	2.61786588188543e-14
"TUBA1A"	1.62151150496653e-18	0.550871022291024	0.875	0.687	3.82855081437647e-14
"SNHG5"	1.82013976946543e-18	0.358321779200754	0.996	1	4.29753200968482e-14
"RPL36A"	1.35249989051088e-17	0.266136896829151	1	1	3.19338749148524e-13
"RPS15A"	1.10364065252599e-14	0.270141327295968	1	1	2.60580594467913e-10
"CSKMT"	2.07857207819852e-13	0.370081978226396	0.988	0.988	4.90771653383452e-09
"PEG10"	3.6026711349015e-13	0.454122583253086	0.926	0.873	8.50626681661594e-09
"TMSB10"	1.55584082282968e-12	0.262365377149337	1	1	3.67349576678317e-08
"FADS2"	3.62219319887404e-12	0.371661414643983	0.965	0.9	8.55236036186149e-08
"GAS5"	4.26536656510289e-12	0.344965839268101	0.996	0.996	1.00709569968644e-07
"NPC2"	1.27881973786195e-11	0.270411893080606	1	0.977	3.01942128306584e-07
"ZFAS1"	2.01127190761866e-11	0.30563613733542	1	1	4.74881410107841e-07
"SNHG9"	2.05790829154023e-11	0.28898241397461	0.988	0.981	4.85892726715564e-07
"FADS1"	4.62192076706144e-11	0.351012726964714	0.996	0.977	1.09128171231088e-06
"FASN"	9.03729999320414e-11	0.307920756166967	0.996	0.992	2.13379690139543e-06
"HMGCS1"	1.23142222825241e-10	0.449584729083357	0.992	0.973	2.90751102312676e-06
"PSAP"	1.30430692061605e-10	0.287913728834298	1	0.996	3.07959907026657e-06
"SNHG19"	3.17963401471461e-10	0.317549600282116	1	1	7.50743387214267e-06
"LPCAT1"	9.90884326431715e-10	0.303690685555218	0.607	0.359	2.33957698313792e-05
"UPK1B"	2.26126191383758e-09	-0.350396806752715	0.724	0.846	5.3390655047619e-05
"INSIG1"	3.62745490434461e-09	0.283206822686539	0.642	0.375	8.56478377464807e-05
"MUC16"	1.3992089639863e-08	0.317438411307131	0.973	0.942	0.000330367228486806
"AC011445.2"	1.23624841960902e-07	0.250754336768131	0.467	0.247	0.00291890614353886
"CPEB4"	1.4393654096907e-07	0.27631300780932	0.576	0.371	0.00339848566882071
"RNF150"	1.66814594107754e-07	0.286565846445774	0.767	0.614	0.00393865938147818
"MTRNR2L1"	2.11070823571633e-07	0.26470022280348	0.588	0.355	0.00498359321534983
"LAMA3"	2.80966410155797e-07	-0.301469389894454	0.595	0.811	0.00663389791018853
"ALCAM"	4.54990693264584e-07	0.268396878922558	0.553	0.332	0.0107427852586701
"LENG8"	4.65841040600437e-07	0.27314389078402	0.949	0.919	0.0109989728096169
"FAM168A"	5.98382642370476e-07	0.258383111584092	0.735	0.571	0.0141284125690093
"PPP3CA"	1.01647599537729e-06	0.272542445454273	0.681	0.533	0.0240000147268531
"TSTD1"	1.66673689384916e-06	0.250184729311115	0.961	0.911	0.0393533248006725
"GXYLT2"	2.48359745965396e-06	0.261827407701994	0.84	0.757	0.0586402196198897
"MUC1"	3.60710020254146e-06	0.345558436438667	0.887	0.861	0.0851672428822065
"SAT1"	3.68951366257433e-06	0.328342460872588	0.732	0.56	0.0871131070870425
"CREBRF"	4.01677362484529e-06	0.269554601268278	0.553	0.367	0.0948400420562222
"EFNB2"	4.56904221116896e-06	0.264104199115181	0.833	0.745	0.10787965564791
"MINCR"	5.70730658561922e-06	0.259066405085224	0.704	0.517	0.134755215793055
"CLDN16"	5.83153384613819e-06	-0.253893121864468	0.374	0.571	0.137688345641169
"GABPB1-AS1"	6.41742565744722e-06	0.301732380984247	0.996	0.985	0.151521837197986
"EFNA1"	7.75075057047438e-06	0.286188991112048	0.654	0.463	0.183002971719471
"TUBB2B"	9.84260438857755e-06	0.271824183616965	0.584	0.417	0.232393732218705
"PLCG2"	1.02772740607475e-05	0.335968232578512	0.568	0.432	0.242656717848309
"CP"	1.72742714134753e-05	0.270346586057089	0.988	0.992	0.407862822343564
"NEAT1"	1.91845233413924e-05	0.287954304705544	1	1	0.452965780613617
"MT2A"	1.93152528737942e-05	0.261138944687196	0.911	0.865	0.456052435603156
"AC087239.1"	2.08642909530727e-05	0.252546243170425	0.673	0.514	0.492626773692998
"FZD3"	3.87435519230519e-05	0.256125226494408	0.572	0.421	0.914774004455178
"AC103591.3"	5.14289308082557e-05	0.282477143450473	0.844	0.745	1
"TXNIP"	0.000130178693790312	0.310201572841764	0.763	0.649	1
"FAM107A"	0.000207688545842076	0.304813428361138	0.533	0.371	1
"MALAT1"	0.00372090623236532	0.279012260787468	1	1	1
"SELENOP"	0.00420302831076014	0.30468480902825	0.541	0.429	1
