"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"CDH6"	1.80461652579617e-259	-2.50051102339054	0.262	0.991	4.26088007905734e-255
"ZFAS1"	1.26450735694915e-251	2.61845908872704	1	0.999	2.98562832049263e-247
"GAS5"	2.1294906022469e-246	2.06450841039813	1	0.984	5.02794026096516e-242
"SNHG17"	4.35206191309471e-244	2.40425949500183	0.997	0.562	1.02756533830079e-239
"RPS26"	1.52311883957523e-239	1.01996131193016	1	1	3.59623589212107e-235
"RSRC2"	7.98700990639011e-234	1.88512830072647	0.997	0.909	1.88581290899777e-229
"EPB41L4A-AS1"	2.46208129459801e-232	1.54106713223154	0.999	0.745	5.81322014467535e-228
"SNHG15"	3.28840653689986e-231	2.24773485582806	0.991	0.741	7.76425667427425e-227
"PAX8"	8.40393584871621e-231	-1.65391675178418	0.475	0.993	1.98425329324038e-226
"MT-CO3"	9.11497863981347e-231	-1.95135974318805	1	1	2.15213760664636e-226
"MT2A"	2.09690050149455e-226	3.61740495133213	0.997	0.825	4.95099177407879e-222
"PRXL2A"	4.59041764430716e-225	-1.46368559087952	0.339	0.975	1.08384350999736e-220
"RPL38"	2.19338344819054e-224	0.766620662499013	1	1	5.17879765952268e-220
"EIF5"	1.59353840633977e-223	1.30644691748968	1	0.994	3.76250353120883e-219
"SNHG1"	1.5634269707096e-222	2.2632988720172	0.981	0.679	3.69140742054245e-218
"RPS9"	3.30272108070667e-222	0.820478500262332	1	1	7.79805474365652e-218
"KLF10"	4.77138466002686e-222	2.65702825319912	0.952	0.278	1.12657163207894e-217
"ARHGAP29"	3.22734389831629e-221	-1.59364536128588	0.921	1	7.62008167831459e-217
"MT-ND4"	4.21944223514509e-221	-1.68617577754466	0.998	1	9.96252506140107e-217
"MT-CYB"	1.34947041112625e-220	-1.56403477520718	0.998	1	3.18623458771018e-216
"SNHG7"	8.3086054360787e-220	1.73337526855012	1	0.957	1.96174482951254e-215
"MT-ATP6"	6.41610350230079e-218	-1.72344739323841	0.999	1	1.51490619792824e-213
"JAK1"	1.57575872312591e-217	-1.38831492752668	0.63	0.993	3.72052392117259e-213
"ARPC1B"	5.03955536802784e-216	-1.29562429104732	0.829	1	1.18988941794505e-211
"ATF4"	1.93030515379603e-215	1.4662073145575	0.998	0.977	4.55764349862781e-211
"SNHG6"	3.38347111599569e-215	1.07688660357194	1	1	7.98871365197742e-211
"CCNB1IP1"	8.96209122325955e-213	1.26836754399851	0.998	0.899	2.11603935872381e-208
"TPT1"	3.94686276014273e-211	-0.826964494968946	1	1	9.318937662973e-207
"MT-CO1"	1.86877131895552e-210	-1.50787797169359	0.999	1	4.41235596118588e-206
"GADD45B"	2.24709563092705e-210	2.65795778674397	0.936	0.276	5.30561749418187e-206
"RPS15"	4.75432666425671e-210	0.606804886773079	1	1	1.12254406869765e-205
"SNHG5"	1.00249448497053e-209	1.12059814615553	1	0.996	2.36698972846392e-205
"PFDN2"	4.27495352212915e-209	1.00733451273956	1	0.993	1.00935927610991e-204
"MT-CO2"	2.37038562692378e-206	-1.29868415864443	1	1	5.59671750372973e-202
"HNRNPDL"	2.47632688182605e-206	0.999950252507119	1	0.978	5.84685540067948e-202
"SNHG8"	8.30140904992584e-206	1.51197644916276	1	0.99	1.96004569077799e-201
"PHGDH"	2.7828733488372e-205	-1.51234846917835	0.59	0.983	6.57064226393951e-201
"MT1F"	3.20146048778669e-204	1.94142178168255	0.957	0.444	7.55896835771315e-200
"PPFIBP1"	3.93939698547779e-204	-1.30840613891464	0.765	0.997	9.30131022241162e-200
"TXNIP"	9.06284328964694e-203	2.20124722274852	0.984	0.601	2.13982792911854e-198
"RPF2"	3.50327560700016e-202	1.19022143800355	1	0.789	8.27158403568807e-198
"MT-ND1"	1.76410878464869e-201	-1.39292263399045	0.993	1	4.16523725143402e-197
"PDRG1"	3.92404598039573e-201	1.26690618674583	0.974	0.453	9.26506496431236e-197
"EPRS"	6.14330300161521e-201	-1.19475788931747	0.636	0.987	1.45049527171137e-196
"MRPL12"	7.6754947667443e-201	-1.25405996760451	0.542	0.991	1.812261069376e-196
"RAB11FIP4"	1.19900801136791e-200	-1.44831114709309	0.173	0.874	2.83097781564076e-196
"TRHDE"	1.57757448933174e-198	-1.26538960246839	0.361	0.951	3.72481112676116e-194
"SNU13"	1.04003378432143e-197	0.791460923442422	1	0.999	2.45562376816133e-193
"RPL23A"	5.39660163656782e-197	0.755613517166613	1	1	1.27419161241003e-192
"BRIX1"	1.95606202326366e-196	1.21101659411364	0.999	0.935	4.61845804312782e-192
"ATP5F1D"	1.05619056760969e-195	-1.13075025532946	0.756	0.997	2.49377154918325e-191
"MT-ND3"	2.4095365645012e-195	-1.26292967115922	0.995	1	5.68915678244378e-191
"PGLS"	6.29632030640206e-195	-1.10937025904056	0.464	0.975	1.48662418754459e-190
"RBM39"	6.71568778653284e-195	1.10751406878025	0.998	0.987	1.58564104327827e-190
