"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"SIPA1"	0	-0.715908362680027	0.018	0.653	0
"ZBED2"	0	-0.763302564572252	0.004	0.616	0
"ZFYVE21"	0	-0.80371799357513	0.037	0.751	0
"ARMC1"	0	-0.82213236002005	0.064	0.799	0
"DIPK1B"	0	-0.833050650145592	0.032	0.763	0
"LMO3"	0	-0.878339500400957	0.021	0.73	0
"TP53INP1"	0	-0.889647330068038	0.04	0.722	0
"TSHR"	0	-0.919116481872012	0.047	0.768	0
"RESF1"	0	-0.944172476383719	0.06	0.815	0
"MICAL2"	0	-0.968516524283184	0.105	0.875	0
"MSMO1"	0	-0.970241332404886	0.092	0.84	0
"NUDT16"	0	-0.975055667630105	0.05	0.83	0
"TMEM223"	0	-1.03156678000593	0.108	0.915	0
"METRNL"	0	-1.09687000029394	0.156	0.95	0
"C19orf12"	0	-1.11267964201768	0.083	0.938	0
"TRHDE-AS1"	0	-1.13065165916794	0.117	0.925	0
"LSM8"	0	-1.18190088598871	0.167	0.954	0
"TENM3"	0	-1.18835132483045	0.106	0.927	0
"FAM207A"	0	-1.18848248429845	0.141	0.932	0
"SOX17"	0	-1.21395658556912	0.136	0.932	0
"SDF2L1"	0	-1.21554166213265	0.117	0.944	0
"TMEM100"	0	-1.29173111535541	0.013	0.786	0
"PSAT1"	0	-1.31346568645394	0.149	0.911	0
"NDUFS2"	0	-1.31919444874954	0.224	0.979	0
"PRXL2A"	0	-1.32784413950647	0.166	0.979	0
"IDH1"	0	-1.36393017127309	0.108	0.934	0
"CBR1"	0	-1.42439732964784	0.147	0.975	0
"JAK1"	0	-1.53599178968296	0.295	0.988	0
"RAB11FIP4"	0	-1.58994120252643	0.104	0.977	0
"PAX8"	0	-1.88087745101003	0.268	1	0
"CDH6"	0	-2.36927436363051	0.152	0.998	0
"HAGH"	1.02363990388097e-307	-1.09290746557639	0.148	0.919	2.41691617705336e-303
"GK5"	6.46336071332255e-307	-0.758966236893838	0.061	0.764	1.52606409802259e-302
"EMX2OS"	1.41107582244203e-305	-0.97760440337562	0.095	0.844	3.33169112436787e-301
"FASTK"	1.52687299155532e-303	-0.842683031609085	0.077	0.799	3.60509982036126e-299
"EPRS"	3.95336080604487e-303	-1.48714074008361	0.331	0.994	9.33428019915255e-299
"IL1R1"	1.31262144965444e-302	-0.874703280821374	0.075	0.793	3.09923050477909e-298
"TRHDE"	1.37811656872785e-302	-1.30728541545407	0.23	0.983	3.25387103042332e-298
"MRPS25"	7.11797158033237e-302	-0.889676314832088	0.11	0.865	1.68062426983228e-297
"HMGCS1"	1.16790787770201e-301	-1.43817151993529	0.223	0.967	2.75754729004222e-297
"TMCC3"	1.48202910332221e-300	-0.904591550926418	0.067	0.77	3.49921891585406e-296
"NMRAL1"	2.50056602774376e-298	-0.874815967207906	0.088	0.809	5.9040864481058e-294
"LGALS3BP"	3.42409425139073e-298	-1.42533164144695	0.251	0.99	8.08462893695866e-294
"PHGDH"	3.75128193192639e-296	-1.78041091388473	0.416	0.998	8.8571517694714e-292
"DCDC2"	8.64929807404429e-295	-1.03106385926485	0.153	0.919	2.0421857682626e-290
"SYNJ2BP"	3.42987796303218e-294	-0.898702668574702	0.122	0.875	8.09828485851529e-290
"GSDMD"	1.30197444105548e-292	-0.882605305246725	0.113	0.857	3.0740918527761e-288
"SLC34A2"	1.83154343175351e-292	-1.32210410369504	0.188	0.959	4.3244571967132e-288
"CCS"	1.38386819918024e-289	-0.840228087729667	0.088	0.799	3.26745120508446e-285
"RNF180"	2.91521733921145e-288	-0.69826687951854	0.036	0.656	6.88311965961216e-284
"CTXN1"	6.99839938544173e-285	-1.14623066232583	0.21	0.956	1.65239207889665e-280
"PHLDA3"	9.44020311589533e-285	-0.939114299095507	0.074	0.759	2.22892635769405e-280
"MCRIP2"	1.86386819584753e-284	-0.87230833954353	0.119	0.861	4.4007791972156e-280
"SCARA3"	8.85557737036748e-284	-0.932042671421644	0.135	0.894	2.09089037291747e-279
"IMPA2"	3.43970225952283e-283	-1.23882193471001	0.242	0.963	8.12148100495936e-279
"PRPF6"	2.73794895110023e-281	-1.04043120954883	0.18	0.94	6.46457126844275e-277
"NAE1"	5.26915269592244e-281	-1.07418820511565	0.208	0.954	1.24409964303425e-276
"CLGN"	3.43387626980983e-280	-0.918104112739993	0.109	0.84	8.10772526064799e-276
"PCYOX1"	4.17227641557223e-280	-0.7394223896716	0.092	0.811	9.85116184480759e-276
"STUB1"	4.12259213014798e-279	-1.44318018478567	0.524	1	9.7338522784924e-275
"ZFAS1"	7.11283054702212e-279	2.73399376509637	1	1	1.67941042045739e-274
"MKNK2"	5.90340687285314e-278	-0.983463227353049	0.155	0.917	1.39385339674935e-273
"MT2A"	8.16073163817309e-278	3.8522008897232	1	0.959	1.92683034708905e-273
"SNHG17"	1.8145522774348e-277	2.40518811777209	1	0.492	4.28433938225131e-273
"LSM10"	2.98492878361845e-277	-0.77562980355253	0.086	0.79	7.04771535100153e-273
"GADD45B"	2.83766560009976e-276	3.05435725869794	0.999	0.18	6.70001224839555e-272
"PARP14"	3.2225884149588e-276	-1.05455386490725	0.196	0.95	7.60885350655923e-272
"SNHG15"	3.46655662927778e-276	2.42346891236325	1	0.753	8.18488685738776e-272
"SNHG1"	5.16967547139489e-276	2.30641754640111	1	0.641	1.22061207555105e-271
"AFAP1"	6.93832732581537e-275	-0.861925888340664	0.115	0.84	1.63820846489827e-270
"BTBD10"	7.4926180471189e-275	-0.815831753998638	0.108	0.822	1.76908204710524e-270
"MT1X"	9.83157163459184e-275	3.28980218337917	0.999	0.83	2.32133237864348e-270
"QARS"	4.62500163173055e-274	-0.812642400191714	0.123	0.851	1.0920091352679e-269
"ARPC1B"	4.86701428953709e-274	-1.59561458441618	0.739	1	1.1491507439026e-269
"DYRK1B"	3.25542576327503e-272	-0.720566732594694	0.062	0.72	7.68638576966866e-268
"RSRC2"	7.8910287285436e-272	1.82434781363701	1	0.927	1.86315079309643e-267
"ARHGAP29"	5.71794138084321e-271	-1.87153471875988	0.953	1	1.35006313943089e-266
"MRPL57"	1.7637539827023e-269	-1.05790089810403	0.205	0.942	4.1643995285584e-265
"ADD3"	1.90144103750889e-269	-0.955118508693927	0.167	0.905	4.48949243366225e-265
"MRPL12"	6.70144412679148e-269	-1.44019226345539	0.452	1	1.58227797277674e-264
"CMTM8"	1.64189821339239e-268	-0.810508912903256	0.119	0.84	3.87668587164077e-264
"RAPGEF3"	2.3173841166277e-268	-0.820716679628043	0.101	0.809	5.47157563776966e-264
"AGGF1"	1.39709435633139e-267	-0.768977253928649	0.1	0.795	3.29867948473406e-263
"BAX"	4.57030462476193e-267	-0.849077291330539	0.134	0.857	1.07909462495254e-262
"GAS5"	3.19014985742766e-266	1.70977635325254	1	0.985	7.53226282837246e-262
"PGM2L1"	7.16993115406014e-265	-1.17972711237742	0.233	0.958	1.69289244478514e-260
"PGLS"	1.63335774056837e-264	-1.25353582615624	0.32	0.979	3.85652096125597e-260
"ENDOG"	1.4729153433364e-263	-0.814768010198315	0.102	0.795	3.47770041715158e-259
