"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"ZFAS1"	0	2.56957596819899	1	1	0
"GAS5"	0	2.25815557650327	1	0.976	0
"SNHG17"	0	2.23089170572814	0.993	0.533	0
"SNHG7"	0	1.90340783756342	0.998	0.915	0
"EPB41L4A-AS1"	0	1.48779560475773	0.992	0.58	0
"RPS26"	0	0.786614678194031	1	1	0
"RPS9"	0	0.753020371136998	1	1	0
"EEF1A1"	0	-0.825194786408244	1	1	0
"RPLP0"	0	-0.883328009218295	1	1	0
"RPL10A"	0	-1.04684359443532	0.998	1	0
"BEX3"	0	-1.13411918597793	0.971	1	0
"TPT1"	0	-1.19760637915155	1	1	0
"EIF3K"	0	-1.29451808434505	0.97	1	0
"ARL6IP4"	0	-1.29737736334492	0.777	0.999	0
"PGLS"	0	-1.35032142129813	0.269	0.978	0
"RER1"	0	-1.36941043100518	0.61	1	0
"PRXL2A"	0	-1.40542185249582	0.34	0.988	0
"IDH1"	0	-1.42284327758961	0.11	0.92	0
"LGALS3BP"	0	-1.45696730692452	0.396	0.989	0
"FDPS"	0	-1.47049812272917	0.838	1	0
"TRHDE"	0	-1.47643290772408	0.35	0.985	0
"TM7SF2"	0	-1.4849419049694	0.294	0.979	0
"HSPA8"	0	-1.49812273385631	0.88	0.999	0
"MYO10"	0	-1.59954888057712	0.494	0.996	0
"ATP5F1D"	0	-1.6690003513991	0.557	1	0
"ARPC1B"	0	-1.69705448511682	0.63	0.998	0
"RAB11FIP4"	0	-1.70921618673451	0.127	0.943	0
"PAX8"	0	-1.73424357223288	0.344	0.999	0
"PHGDH"	0	-1.73600281160126	0.576	0.997	0
"SCD"	0	-1.79352511872506	0.607	0.996	0
"SPON1"	0	-1.80901240837933	0.581	0.998	0
"CHCHD10"	0	-1.84096364733785	0.521	0.998	0
"MT-CO3"	0	-1.89159095654463	1	1	0
"ARHGAP29"	0	-2.28169518966631	0.813	1	0
"CDH6"	0	-2.56896169452035	0.154	0.996	0
"PPFIBP1"	6.12513931747186e-308	-1.5328963392842	0.657	0.997	1.44620664424828e-303
"MT-ND4"	8.60640328288859e-308	-1.73112146734079	0.999	1	2.03205787912283e-303
"CYBA"	1.6228266529709e-307	-1.30480948864437	0.891	1	3.83165601032959e-303
"MGMT"	4.59328350752782e-307	-1.29335153737766	0.433	0.992	1.08452016896239e-302
"BMP7"	3.2752240094156e-306	-1.58870224901531	0.642	0.995	7.73313140863117e-302
"EPRS"	1.25353574272749e-305	-1.33042608770962	0.609	0.999	2.95972324215387e-301
"MT-ATP6"	4.99042371530332e-305	-1.76016669349417	0.998	1	1.17828894342027e-300
"ATP6V0B"	5.37341255858366e-305	0.980809000551417	1	0.993	1.26871643920719e-300
"MT-ND3"	1.1117869818677e-304	-1.5432471450995	0.997	1	2.62504024288783e-300
"CD47"	3.92373371296528e-304	-1.25759005384111	0.996	1	9.26432766968231e-300
"FIBP"	5.37502120928166e-304	-1.24449460280562	0.597	0.995	1.26909625772349e-299
"MRPL12"	9.32943062799873e-304	-1.47426602365304	0.493	0.992	2.20277186557678e-299
"RPL3"	1.5227940102426e-303	-0.718631065374021	1	1	3.59546893758381e-299
"MT-CYB"	1.63886691947494e-303	-1.52455921933885	0.996	1	3.86952868357229e-299
"FAM162A"	1.69148210668162e-302	-1.18477253072398	0.914	1	3.99375840208597e-298
"SLC34A2"	5.71485763554468e-302	-1.48500871988774	0.125	0.924	1.34933503632845e-297
"JAK1"	1.00513292691984e-300	-1.43968215651136	0.528	0.985	2.37321935375044e-296
"HDLBP"	6.71001198905308e-300	-1.26991045309834	0.613	0.996	1.58430093073532e-295
"FAM207A"	1.58717420216429e-299	-1.2292725072035	0.14	0.924	3.74747700873011e-295
"NTHL1"	3.76368645580491e-298	-1.2937506939592	0.477	0.991	8.88644009080098e-294
"IMPA2"	1.64392497933202e-297	-1.41415919941608	0.375	0.972	3.88147126870084e-293
"HLTF"	3.13208842413395e-297	-1.31303166033493	0.736	0.999	7.39517397822266e-293
"TENM3"	1.80207891026431e-296	-1.27567680576452	0.205	0.939	4.25488851502506e-292
"MT-ND1"	2.94747780541589e-296	-1.55641271455594	0.997	1	6.95928984636746e-292
"RPL28"	3.45977061624616e-295	-0.725471170131583	1	1	8.1688644020188e-291
"MICOS13"	1.0674828929458e-293	-1.24891585369221	0.506	0.99	2.52043385853432e-289
"NAA10"	2.07388594197368e-293	-1.25955149098962	0.444	0.993	4.89665209759406e-289
"HMGCS1"	3.03980411882021e-293	-1.74179072856375	0.359	0.96	7.1772815049464e-289
"NDUFS8"	8.55449277450576e-293	-1.11561961200274	0.792	1	2.01980128898856e-288
"RNASEH2C"	1.41565354907962e-292	-1.31019756226563	0.393	0.974	3.34249959473189e-288
"MT-ND5"	1.66587947336939e-292	-1.63482937530294	0.864	0.999	3.93330802457247e-288
"EIF5"	2.22857743206106e-292	1.08673524817876	1	0.993	5.26189417483937e-288
"SNHG15"	8.79240118289935e-292	1.94277124384464	0.986	0.688	2.07597384329437e-287
"CCNI"	1.48016705538108e-291	-0.993870216134837	0.97	1	3.49482243446027e-287
"STMN1"	1.7596752297066e-291	-1.30055022510165	0.713	0.996	4.15476918486025e-287
"STUB1"	1.03881900244471e-290	-1.27537199253553	0.564	0.999	2.45275554667221e-286
"FADS1"	1.06688215963316e-290	-1.30982705622916	0.58	0.99	2.51901546710986e-286
"MT-CO1"	2.05478893561383e-290	-1.39874933619564	0.998	1	4.85156215587781e-286
