"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPS26"	5.45903922439615e-31	0.354736573081531	1	1	1.28893375127218e-26
"MT2A"	4.84071131272413e-26	0.615598422686359	1	1	1.14294034804729e-21
"RPS20"	2.7405880365651e-24	0.372304551840857	1	1	6.47080241313385e-20
"RPLP2"	9.25472649979474e-23	0.257583539118809	1	1	2.18513347386653e-18
"RPL31"	1.22243879123469e-21	0.392562330417289	1	1	2.88630022998423e-17
"RPL35"	2.01063999142836e-21	0.286970287181516	1	1	4.7473220837615e-17
"RPS28"	2.25291460979326e-20	0.261221806202634	1	1	5.31935668518286e-16
"MT1X"	2.94902124469413e-20	0.672722903178675	0.995	0.996	6.96293406084732e-16
"MT1F"	2.99196409342035e-20	0.528177701591474	1	0.987	7.06432642097478e-16
"POLR2L"	2.88606435913731e-19	0.365418190149975	1	1	6.81428655835909e-15
"ROMO1"	9.31793966374106e-19	0.453889267836822	1	0.987	2.2000587340059e-14
"RPS29"	1.68782879130374e-18	0.291108634751369	1	1	3.98513255914726e-14
"TUBB4B"	2.515772833949e-18	0.575922617944731	0.995	0.951	5.93999123823698e-14
"RPL27A"	3.20295659896499e-18	0.251195857728885	1	1	7.56250082581623e-14
"OAZ1"	3.39238829157227e-18	0.360009340083489	1	1	8.00976799523129e-14
"ATP5MG"	1.14924996544701e-17	0.298587104898194	1	1	2.71349409341694e-13
"ELOB"	1.88531743117376e-17	0.320198872625835	1	1	4.45142298674436e-13
"MTRNR2L12"	7.46789157890952e-17	0.684339777105733	0.972	0.835	1.76324388069633e-12
"UBC"	1.28418997521755e-16	0.364324780288597	1	1	3.03210095048616e-12
"PTMS"	9.04286279845186e-16	0.409082755020083	1	0.978	2.13511033534247e-11
"COPS9"	1.21172978889166e-14	0.285850355057311	1	1	2.86101520455209e-10
"COX8A"	1.57264993366007e-14	0.280834509515923	1	1	3.7131837583648e-10
"AURKAIP1"	7.49271682090352e-14	0.403765771917865	1	0.973	1.76910536858353e-09
"GOLGB1"	8.16594526872334e-14	0.478992202370442	0.943	0.893	1.92806133739827e-09
"EIF5A"	1.68950145227483e-13	0.322834633973129	1	1	3.98908187896609e-09
"COPE"	2.31232663093099e-13	0.271907651735917	0.995	1	5.45963440829117e-09
"RPL36"	2.67534023276864e-13	0.292984621948281	1	1	6.31674582359005e-09
"EIF3G"	2.91332074986452e-13	0.291555972010749	1	1	6.87864162250511e-09
"MAGOH"	2.99302980294515e-13	0.316715540165722	1	0.996	7.06684266773378e-09
"KRTCAP2"	5.56082959812538e-13	0.335113258141849	1	1	1.31296747641338e-08
"HM13"	7.09004928053671e-13	0.287622079051037	1	0.996	1.67403153562752e-08
"DBI"	1.12971419994563e-12	0.299868724327541	0.995	1	2.66736819749164e-08
"CALR"	1.24480248698253e-12	0.300184054138392	0.995	1	2.93910315201444e-08
"PSMC5"	3.43851286304947e-12	0.33341931628146	0.981	0.969	8.11867272094611e-08
"ARPC5L"	5.88925750845926e-12	0.311604077642258	0.981	0.987	1.39051259032232e-07
"ATP5IF1"	6.7623657634093e-12	0.314555090702878	1	1	1.59666218039857e-07
"NUDT16L1"	6.84890576336513e-12	0.366701352758642	0.938	0.812	1.61709513978814e-07
"EIF3F"	1.18719041004075e-11	0.251969244089216	1	1	2.80307527714721e-07
"SNRPD3"	1.36914676830032e-11	0.314734751670886	0.981	0.96	3.2326924346339e-07
"IK"	1.73040887778127e-11	0.342064572263846	0.962	0.884	4.08566840132935e-07
"ECHS1"	1.89481148483126e-11	0.264663300718075	1	1	4.47383939683508e-07
"BSG"	1.92771818575947e-11	0.286063229765342	0.991	0.987	4.55153540839668e-07
"PPM1G"	2.72947531125937e-11	0.305880402678728	0.991	0.969	6.44456415741451e-07
"EEF1D"	2.92684882370676e-11	0.276363301581086	0.995	1	6.91058275765404e-07
"SNRPB"	2.99283173134049e-11	0.261692733779974	1	1	7.06637500086802e-07
"GPX4"	4.06915519041563e-11	0.255389687957694	1	1	9.60768232009035e-07
"ARF1"	5.45714912428466e-11	0.320693393382804	0.991	0.987	1.28848747973485e-06
"TUSC2"	5.58758054872469e-11	0.304035179436787	0.972	0.969	1.31928364335939e-06
"QPRT"	6.29820722114289e-11	0.336703226343197	0.972	0.857	1.48706970698405e-06
"ATP5MF"	7.83961313540142e-11	0.261054561415377	1	1	1.85101105739963e-06
"HSP90AB1"	1.13103977541329e-10	0.262513748856856	1	1	2.67049801372832e-06
"SERTAD1"	1.16469791016863e-10	0.445596373937586	0.853	0.621	2.74996823569915e-06
"LMNA"	1.30528034999847e-10	0.262541513990134	1	1	3.0818974343814e-06
"NOP58"	1.37254441867997e-10	0.257408213597826	1	0.996	3.24071462694528e-06
"ADRM1"	1.58201044033963e-10	0.336446257148706	0.995	0.951	3.73528485068589e-06
"TMEM258"	1.68720509159754e-10	0.27503286284185	1	1	3.98365994177094e-06
"MALAT1"	1.80126992795951e-10	0.544215846782028	1	1	4.25297842690519e-06
"PHB"	1.84569264111264e-10	0.260458613841124	1	0.996	4.35786489493106e-06
"CXCL1"	2.07293915575417e-10	-0.452257826441272	0.943	0.978	4.89441664065117e-06
"POLR2E"	2.30493121165955e-10	0.303912016491624	0.967	0.96	5.44217308384937e-06
"TMEM259"	2.36380195860547e-10	0.323637515462656	0.791	0.491	5.58117280446337e-06
"CSTB"	2.5129324784752e-10	0.277325161492458	0.995	1	5.93328487492779e-06
"CDC37"	3.00021731096791e-10	0.263503000105311	0.986	0.978	7.08381309292633e-06
"GOLGA4"	3.05517040834039e-10	0.394144125291567	0.957	0.853	7.2135628511325e-06
"TOP1"	3.12208974767503e-10	0.321621538100662	1	0.982	7.37156610323552e-06
"SPSB3"	3.14188299885867e-10	0.332528410832555	0.664	0.375	7.4182999486052e-06
"CYC1"	4.53179554970835e-10	0.276360811734473	1	0.991	1.07000224724164e-05
"APRT"	4.55500276924982e-10	0.267921557819229	0.995	0.991	1.07548170384757e-05
"FKBP4"	5.17665179569727e-10	0.36307940175783	0.934	0.879	1.22225925548208e-05
"TAF10"	5.82966390018073e-10	0.324716715667514	0.943	0.821	1.37644194347167e-05
"SYAP1"	7.34304287174089e-10	0.360395149693877	0.834	0.598	1.73376585244674e-05
"TNFRSF12A"	7.49576934839877e-10	0.383659759194048	0.953	0.795	1.76982610085043e-05
"NUCKS1"	7.51627489100825e-10	0.256603662633034	1	1	1.77466766451596e-05
"UQCR11"	9.5022576866977e-10	0.2979130233088	0.995	0.973	2.24357806240619e-05
"NDUFA1"	1.05319456519371e-09	0.27083975250204	1	0.987	2.48669768787887e-05
"MAP1LC3B"	1.34930866780277e-09	0.281000345823013	0.986	0.96	3.18585269554912e-05
"SLC2A4RG"	1.36036156023147e-09	0.366612285735648	0.749	0.496	3.21194967986251e-05
"HSPD1"	1.79998163784268e-09	0.258096740115576	1	1	4.24993664511036e-05
