"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"KLK15"	4.87231115564532e-205	0.931378848490831	0.926	0.022	1.15040138695942e-200
"KLF10"	1.75313129735518e-200	2.17338298649826	0.98	0.206	4.13931830618533e-196
"AC095055.1"	5.51243600942175e-199	0.90964648249875	0.908	0.02	1.30154126618457e-194
"SNHG17"	1.47739561366786e-197	1.94931756458895	1	0.516	3.4882787834312e-193
"ZFAS1"	4.26473159259368e-195	2.45452765591029	1	1	1.00694577632729e-190
"MT2A"	3.29318375038291e-194	4.31266119616513	1	0.853	7.77553615302909e-190
"MT1F"	5.73094811111725e-194	1.93740943398312	0.991	0.331	1.35313415851589e-189
"GADD45B"	7.3414694397692e-194	2.61707648301308	0.978	0.284	1.73339434942391e-189
"RSRC2"	1.20538407647267e-192	2.23140309899353	1	0.931	2.84603234295961e-188
"CDH6"	4.57749374490842e-192	-2.23373637887477	0.273	1	1.08079204811033e-187
"SNHG15"	6.88828977188346e-192	1.91564143043731	1	0.734	1.6263940980394e-187
"GATA2"	1.45560796197239e-189	1.56473457120587	0.982	0.223	3.43683595901301e-185
"SNHG1"	1.30115753367162e-187	1.80638814929095	0.995	0.673	3.07216305275205e-183
"MT1X"	3.01197671673895e-187	3.61850610103389	0.995	0.648	7.11157822589233e-183
"ATF3"	1.91080039415347e-185	1.28801265286358	0.953	0.094	4.51159081063576e-181
"PDRG1"	5.10065810525822e-184	1.21848556523046	0.998	0.331	1.20431638523252e-179
"RAB11FIP4"	5.37596518894702e-184	-1.68922676390306	0.128	0.966	1.26931914076228e-179
"GAS5"	3.8461717855985e-183	1.74598859033068	1	0.991	9.08119620297661e-179
"IDH1"	1.2978635736561e-182	-1.56866898540433	0.128	0.969	3.06438568375942e-178
"SNHG12"	1.44861171297338e-181	1.43826612761434	0.986	0.298	3.42031711550144e-177
"CSRNP1"	2.14356036958256e-181	1.09483296716045	0.95	0.117	5.06116038862138e-177
"RPL38"	3.28311727352361e-181	1.19276815292195	1	1	7.75176819451659e-177
"SNHG6"	1.66971973598834e-180	1.29749716765064	1	1	3.94237526864206e-176
"IL6"	2.36344118279565e-180	0.891666633551907	0.887	0.045	5.58032097669881e-176
"PHGDH"	3.96399437317321e-180	-1.48271341306857	0.854	0.997	9.35938711449926e-176
"DDIT3"	1.21713226716632e-179	1.73013867825302	0.996	0.57	2.87377099600639e-175
"TAF1D"	2.79428303862722e-179	1.7471866151322	0.996	0.733	6.59758168250272e-175
"PAX8"	8.05536168621601e-179	-1.51488138394024	0.665	0.998	1.90195144773246e-174
"SNHG5"	9.49944606234651e-179	1.19575775636085	1	0.995	2.24291420978063e-174
"EIF5"	3.67039377821408e-178	1.22796747771611	1	0.992	8.66616674974127e-174
"ATF4"	5.67796004924598e-178	1.49725658176034	1	0.966	1.34062314722747e-173
"TXNIP"	7.69654351754669e-178	1.93308572153645	0.989	0.425	1.81723088992795e-173
"EPB41L4A-AS1"	8.29226103281352e-177	1.30890546257044	1	0.639	1.9578857524576e-172
"SNHG7"	2.60714398097788e-175	1.47396889026555	1	0.952	6.15572765348687e-171
"HSPA8"	4.5913368193782e-173	-1.24433938001296	0.993	1	1.08406053642339e-168
"ANKRD1"	4.79895442261668e-173	1.11434003154239	0.903	0.067	1.13308112872402e-168
"ARPC1B"	5.38892155932376e-173	-1.28585238641922	0.971	0.998	1.27237826937193e-168
"SLC34A2"	2.22655080587875e-171	-1.45355082253744	0.117	0.956	5.25710910776031e-167
"NFKBIA"	6.33106254878838e-171	2.59643440327634	0.991	0.848	1.49482717839443e-166
"NR1D1"	8.09499607221017e-170	0.958301237136486	0.844	0.033	1.91130952260954e-165
"ARHGAP29"	9.21863417188162e-170	-1.48395364788272	0.993	1	2.17661171432297e-165
"ATP5F1A"	1.6124960006244e-169	-1.14626067122579	0.957	1	3.80726430707428e-165
"BRD2"	2.78575035804595e-169	1.40555810202088	0.993	0.83	6.5774351703823e-165
"PRPF38B"	3.56602017289071e-169	1.30699969357915	1	0.866	8.41973023021227e-165
"EID2"	1.15867491584392e-168	1.61385635534187	0.993	0.769	2.73574734379907e-164
"EEF1A1"	1.75716224744072e-168	-0.935403726682075	1	1	4.14883578243228e-164
"ADM"	5.10038317117368e-168	1.23422074574816	0.901	0.077	1.20425147054582e-163
"PRXL2A"	1.15086717541096e-167	-1.33653955031741	0.192	0.986	2.71731248786282e-163
"DLX2"	1.28708449788769e-167	1.19281423140988	0.915	0.102	3.03893520796263e-163
"PPP1R15A"	2.00590050814037e-166	1.50033928367649	0.969	0.373	4.73613168977022e-162
"HES1"	2.65779085764842e-165	2.09565009811994	0.948	0.316	6.27530999399368e-161
"TRHDE-AS1"	6.92931329859507e-164	-1.32159917645288	0.094	0.92	1.63608016293128e-159
"ZNF34"	2.91839747949551e-163	1.02733535318306	0.89	0.089	6.89062828883686e-159
"FDPS"	9.3082074793978e-163	-1.11699344774145	0.991	1	2.19776086796061e-158
"ID3"	5.70043081144272e-162	1.42295967570532	0.991	0.441	1.34592871888974e-157
"SDF2L1"	1.81263724724862e-161	-1.25012331448777	0.14	0.952	4.27981780447872e-157
"TPT1"	2.38710661020397e-161	-0.84676234689088	1	1	5.6361974173526e-157
"TENM3"	3.19161557977989e-161	-1.23696133187205	0.128	0.941	7.53572354541829e-157
"SNHG9"	8.77510331471157e-161	1.33226514505819	1	0.914	2.07188964363655e-156
"EIF4G2"	4.59147020195471e-160	-1.08954023803904	0.995	1	1.08409202938353e-155
"CCNI"	5.30313778008311e-160	-1.02312720037527	0.996	1	1.25212386125542e-155
"IMPA2"	1.26407460954034e-159	-1.30252275460836	0.239	0.975	2.98460656058571e-155
"CLK4"	2.71156152721667e-159	1.01357727309894	0.962	0.209	6.40226792191129e-155
"JUNB"	5.10295532279186e-159	1.64756026815216	0.98	0.797	1.20485878126439e-154
"JAK1"	8.30541470301088e-159	-1.18090942699754	0.808	0.997	1.9609914655279e-154
"RPLP0"	1.33131860677118e-158	-0.914180698735175	1	1	3.14337636244744e-154
"SLC30A1"	2.72726048786388e-158	1.33746444895276	0.959	0.305	6.4393347378954e-154
"EPRS"	7.92776908150517e-158	-1.15209550329547	0.822	1	1.87182555783419e-153
"HNRNPDL"	6.09892491671589e-157	1.08391806117885	1	0.988	1.44001716208579e-152
"LMO3"	1.12225495681274e-156	-1.10561625027761	0.027	0.834	2.64975617853055e-152
"SOX17"	1.13455514552427e-156	-1.27392938452479	0.088	0.883	2.67879815409736e-152
"BEX3"	1.58883010345561e-156	-0.983662499892665	0.991	1	3.75138675726905e-152
"CBR1"	2.87653462853911e-156	-1.18468572592976	0.135	0.939	6.79178591144368e-152
"ID2"	5.32135919387481e-156	1.64600653533414	0.991	0.681	1.25642611926578e-151
"SQLE"	5.64512606509203e-156	-1.35339998366765	0.243	0.962	1.33287071522888e-151
"PSAT1"	3.68534775709118e-155	-1.26820282704435	0.112	0.895	8.70147458926798e-151
"CD47"	1.09128654137717e-153	-1.25355145991734	1	1	2.57663665284563e-149
"CYP51A1"	1.76847256456891e-153	-1.24745379160694	0.214	0.966	4.17554057220364e-149
"SCD"	2.74198732224369e-153	-1.40135758334578	0.917	1	6.47410626654958e-149
"RBM39"	4.46046286107604e-153	1.06383488782779	1	0.995	1.05315988612866e-148
"CXCL1"	6.41278806635458e-153	1.29145412672293	0.939	0.17	1.51412339034698e-148
"TM7SF2"	1.19107509955614e-151	-1.2521362805207	0.273	0.961	2.81224741756199e-147
"MAL2"	1.2319865137383e-150	-0.992974975955768	0.975	0.998	2.90884335758749e-146
"TRA2B"	1.93829908497594e-150	1.47681096374965	0.991	0.934	4.57651796953669e-146
"SNAPC1"	2.55430068149957e-149	1.43910328134073	0.959	0.409	6.03095933908864e-145
"NXF1"	6.69447434395993e-149	1.20329719809054	0.962	0.394	1.58063233735238e-144
"HOXC13"	3.08128679881052e-148	0.817846721316639	0.829	0.073	7.27522626067152e-144
"WDR43"	3.82320542743018e-148	1.0956284066827	0.998	0.884	9.02697033470539e-144
"SNHG8"	4.60151376097886e-148	1.11379537907628	1	0.995	1.08646341410472e-143
"OVOL1"	1.03426523476105e-147	0.801210133350058	0.754	0.022	2.44200364579432e-143
"ZBTB21"	2.33495069581652e-147	1.15742055011526	0.928	0.195	5.5130520878924e-143
"EFNA1"	1.53469405685123e-146	1.2850143242521	0.975	0.42	3.62356613763145e-142
"BMP7"	2.12428283266585e-146	-1.21323830154326	0.939	0.995	5.01564419620734e-142
"PGLS"	2.36082465730946e-146	-1.11633308795318	0.263	0.969	5.57414309837336e-142
"DDX21"	2.48210633588813e-146	1.00274621126067	1	1	5.86050126966546e-142
"EIF3K"	3.08475400296301e-146	-0.845029504657765	1	1	7.28341267639596e-142
"HAGH"	5.9901493911417e-146	-1.05647520135175	0.124	0.897	1.41433417274247e-141
"TSHR"	6.61470347528219e-146	-1.16997835930332	0.032	0.806	1.56179763754888e-141
"SPON1"	5.11560562276853e-145	-1.31941632681519	0.923	1	1.20784564359188e-140
"MGST1"	1.37933860491331e-144	-0.999935396339823	0.973	0.997	3.25675638006082e-140
"FDFT1"	6.65014223615653e-143	-1.04162596571454	0.601	0.97	1.57016508337892e-138
"VAV3"	1.60206030702496e-142	-1.16840274641587	0.147	0.919	3.78262459091664e-138
"AL627171.2"	1.73976399995036e-142	2.50701497981825	0.921	0.411	4.10775678028279e-138
"FIBP"	4.72604770139817e-142	-0.949447003489155	0.883	0.988	1.11586712277712e-137
"KCNK15"	1.08059127872906e-141	-1.28239388348103	0.201	0.928	2.55138406820719e-137
"BRIX1"	1.16135397512951e-141	1.05038557014937	1	0.959	2.7420728706783e-137
"TNFAIP3"	1.84435512618048e-141	0.957801954844394	0.784	0.053	4.35470688842473e-137
"PFDN4"	8.09237469400595e-141	1.04540543964206	1	0.975	1.91069058900175e-136
"NDUFS2"	1.33815819580455e-140	-0.907134084243998	0.791	0.988	3.15952531611412e-136
"AP2M1"	1.62201640965393e-140	-0.855971623708764	0.991	1	3.82974294483388e-136
"SLC25A3"	2.64039354205683e-140	-0.778877623477642	1	1	6.23423319215038e-136
"SON"	3.7147522489682e-140	0.972738416368617	1	1	8.77090153503881e-136
"TRA2A"	4.87851853938735e-140	1.30367345503127	0.95	0.43	1.15186701233475e-135
"NECTIN3"	5.05921190161897e-140	-1.06518889379565	0.149	0.92	1.19453052209126e-135
"RSF1"	7.2992364074564e-140	1.20671130020854	1	1	1.72342270816453e-135
"SPEN"	7.56698648333715e-140	1.40467258787197	0.998	0.933	1.78664117858074e-135
"ID1"	1.16924028460611e-139	1.38948745492286	1	0.995	2.76069323598348e-135
"RPF2"	2.41092982438323e-139	1.02055449224387	1	0.808	5.69244640835125e-135
"STUB1"	3.09322060140259e-139	-0.946530344461712	0.901	1	7.30340316197166e-135
"PFDN2"	3.83205691348648e-139	0.943533211055104	1	0.997	9.04786957843292e-135
"CD9"	5.20584313858011e-139	-1.08725230942861	1	1	1.22915162345015e-134
"TTC28-AS1"	1.24189074570794e-138	0.981869983509182	0.966	0.322	2.93222823969101e-134
"GSDMD"	2.58412612209428e-138	-0.955391608658408	0.103	0.864	6.1013801868768e-134
"OSER1"	4.03266264105878e-138	1.00314637715805	0.989	0.789	9.52151976180389e-134
"MAL"	5.69525370940547e-138	-1.24122679289924	0.074	0.822	1.34470635332773e-133
"ATP5F1D"	9.78847552533449e-138	-0.960932644439191	0.937	1	2.31115695628673e-133
"CCN1"	1.76273748787877e-137	1.1913700962577	0.987	0.709	4.16199948263055e-133
"IER3"	2.13327971936629e-137	1.43024036290936	0.968	0.534	5.03688674539576e-133
"EMX2OS"	3.01627692569322e-137	-0.99637868739277	0.074	0.833	7.12173144925427e-133
"FTL"	5.16904246891055e-137	-0.942424018690863	0.998	1	1.22046261733447e-132
"BUD31"	7.95757477766526e-137	0.914070022432536	1	0.972	1.87886298075454e-132
"ZFP30"	8.78569756692826e-137	0.936614577965077	0.876	0.147	2.07439105252743e-132
"ANKRD12"	1.00270263525626e-136	1.48488979494773	0.991	0.839	2.36748119210355e-132
"TAF9"	2.13880353782309e-136	-0.974302377767986	0.142	0.895	5.04992903315409e-132
"SIRT7"	2.95864650486677e-136	1.11767418390677	0.991	0.658	6.98566026264094e-132
"MFSD10"	7.91014536635969e-136	-0.943412832196244	0.147	0.92	1.86766442245119e-131
"MORF4L2"	1.02449263579713e-135	-0.781383614306791	1	1	2.41892956238061e-131
"TMEM100"	2.31398801017769e-135	-1.35554968605289	0.018	0.748	5.46355709083054e-131
"RPL36A"	5.06114465249099e-135	0.732466814214193	1	1	1.19498686389965e-130
"DYNLT1"	7.20642143938866e-135	-0.862834164602348	0.95	0.991	1.70150816605406e-130
"CCNB1IP1"	7.45189982092899e-135	0.9039730787472	1	0.861	1.75946806671954e-130
"PRKCI"	1.06597004750962e-134	-0.952671803813547	0.888	0.991	2.51686187917496e-130
