"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPS21"	3.24327940736354e-48	0.310063073348972	1	1	7.65770700872606e-44
"RPL39"	1.15039480580374e-42	0.310412159438022	1	1	2.71619717598322e-38
"RPS27"	5.89941497792286e-42	0.365505449749588	1	1	1.39291087043737e-37
"RPS29"	5.77734808139124e-39	0.297287166362483	1	1	1.36408965549729e-34
"RPL37"	6.2716933065158e-38	0.304301638152683	1	1	1.48080950660145e-33
"RPL37A"	1.28202896838402e-37	0.29450927910981	1	1	3.02699859725151e-33
"RPS28"	7.62798485260352e-36	0.295183137516732	1	1	1.80104350354822e-31
"RPL41"	2.49277999682034e-34	0.255698818057638	1	1	5.88570285049251e-30
"RPL36A"	3.59224216723967e-30	0.281979703984473	1	1	8.48164298106959e-26
"RPL34"	1.2963725454475e-29	0.32640929523348	1	1	3.0608652170561e-25
"TUBA1A"	4.61717016746373e-29	0.592421262023843	0.959	0.871	1.09016004823986e-24
"SCD"	1.9710906493828e-28	0.543481475553319	1	0.988	4.65394213225772e-24
"INSIG1"	2.04678948350483e-27	0.397728856740458	0.663	0.224	4.83267464950326e-23
"PEG10"	9.06272724043266e-27	0.498939200804456	0.929	0.841	2.13980052873855e-22
"RPL36"	2.29372388197473e-25	0.256589662325743	1	1	5.41571145773054e-21
"FGFR1"	3.89820713591493e-24	0.318602995989324	0.51	0.137	9.20405686860875e-20
"TMSB10"	3.64023141201511e-23	0.270930787001772	1	1	8.59495038690889e-19
"RPS15A"	3.40004138316151e-22	0.258035478471929	1	1	8.02783770978265e-18
"TXNIP"	4.12847375976641e-22	0.392327657424507	0.837	0.458	9.74773939418446e-18
"ALCAM"	2.42736236485874e-21	0.303672624381916	0.609	0.236	5.73124527966796e-17
"AKAP1"	3.26871991667001e-21	0.321988154688349	0.633	0.271	7.71777459524957e-17
"WDR6"	5.41882134625267e-21	0.318495578834702	0.595	0.236	1.27943790806372e-16
"FOXP1"	8.41012435480431e-21	0.341637487683474	0.554	0.199	1.98571446141284e-16
