"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPS21"	6.07271843132445e-71	0.296222964150742	1	1	1.43382954882002e-66
"RPL39"	1.0593396771704e-70	0.320385785092565	1	1	2.50120691176703e-66
"RPS29"	2.11717868786188e-66	0.325816839152157	1	1	4.99887059991069e-62
"RPL37A"	6.83095443397106e-64	0.302851794014821	1	1	1.61285665140491e-59
"RPL37"	3.80009743938144e-52	0.299182814272432	1	1	8.97241006412351e-48
"RPS27"	1.55774427745337e-51	0.367086857718225	1	1	3.67799001349516e-47
"RPL41"	3.2488969375438e-49	0.256922994477028	1	1	7.67097055923468e-45
"SCD"	7.02327975401086e-49	0.627493413513319	1	0.992	1.6582665827195e-44
"RPS28"	2.35601940008363e-43	0.277302373312776	1	1	5.56279740553746e-39
"INSIG1"	1.06138460653924e-41	0.424664231217715	0.673	0.236	2.50603519449981e-37
"RPL34"	4.94740575927431e-41	0.300112948233666	1	1	1.16813197382226e-36
"SNHG5"	1.19812281989642e-40	0.328696299925535	0.998	1	2.82888779005745e-36
"RPL36A"	4.35715901498023e-40	0.252744407029529	1	1	1.02876881502698e-35
"HMGCS1"	4.69037511606197e-37	0.650950386163724	0.989	0.967	1.10744446865339e-32
"FASN"	7.22084013131964e-36	0.453856328612971	0.996	0.975	1.70491256340588e-31
"FADS2"	1.42518376167305e-33	0.419118911165493	0.94	0.865	3.36500137968624e-29
"DBI"	9.97464652937892e-33	0.282295292834444	1	0.998	2.35511379205166e-28
"PEG10"	2.17051112357123e-32	0.428926634706971	0.937	0.838	5.12479381386402e-28
"TUBA1A"	6.2642686674435e-31	0.494448237926644	0.958	0.863	1.47905647507008e-26
"TMSB10"	1.01308251797036e-30	0.27814785914215	1	1	2.39198913317981e-26
"LSS"	2.31168203516991e-30	0.43305833249114	0.773	0.432	5.45811245323969e-26
"FADS1"	6.6308078161859e-26	0.370312356210373	0.995	0.969	1.56560003347965e-21
"TXNIP"	1.11629433899824e-25	0.43233153647265	0.609	0.276	2.63568256380874e-21
"SNHG6"	3.86738357960178e-25	0.261830343829949	1	1	9.13127936979777e-21
