"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"AC095055.1"	3.27359839108511e-116	1.42179635965017	0.929	0.005	7.72929316119106e-112
"KLF10"	4.65300311277661e-115	2.52731639889445	0.991	0.104	1.09862056495768e-110
"GADD45B"	2.86782899995259e-113	2.98744584400997	0.996	0.142	6.77123105178805e-109
"KLK15"	8.65119212204232e-110	1.315061005639	0.902	0.01	2.04263297193541e-105
"GATA2"	8.75121887666927e-108	1.89129440461551	0.942	0.067	2.06625028897038e-103
"PPP1R15A"	6.0326705311476e-106	1.65201642788395	0.996	0.172	1.42437383910926e-101
"CSRNP1"	3.11763707515446e-103	1.3979910453674	0.938	0.08	7.3610528981472e-99
"IL6"	2.94133242160184e-100	1.50914034169558	0.875	0.037	6.94477998064411e-96
"SNHG17"	3.04928715181909e-100	2.47524674605595	1	0.465	7.19967189416005e-96
"SNHG1"	1.23214142112447e-99	2.46319703654359	1	0.652	2.90920910941698e-95
"SNHG15"	4.12805839667516e-99	2.50153555526282	1	0.759	9.74675868038973e-95
"EFNA1"	1.31014133532372e-97	1.82617428201985	1	0.261	3.09337470683283e-93
"CXCL1"	7.3028084748755e-97	2.12891591606255	0.978	0.182	1.72426610900285e-92
"JUNB"	3.78045991371802e-96	2.10112959037564	1	0.848	8.92604390227961e-92
"DLX2"	4.94393214373348e-96	1.32425778536561	0.857	0.047	1.16731181845691e-91
"ZFAS1"	7.8641258040435e-96	2.75858844435571	1	1	1.85679874359271e-91
"MT2A"	1.14018160183428e-95	3.7669811564307	1	0.94	2.69208278009091e-91
"CCNL1"	2.53947589420662e-95	1.51067872348359	1	0.821	5.99595653381124e-91
"RSRC2"	6.43636623117177e-95	1.85062093505701	1	0.903	1.51969043084197e-90
"GAS5"	1.41534508652585e-94	1.993291716541	1	0.988	3.34177128379618e-90
"MT1F"	3.46385897076672e-94	1.81339731645225	0.987	0.328	8.17851741587731e-90
"MT1X"	1.15909353968514e-93	3.29520776313894	0.996	0.803	2.73673575655058e-89
"NR1D1"	2.82612638479568e-93	1.13606523010846	0.817	0.025	6.67276700714107e-89
"CDH6"	5.79673281442539e-93	-2.08681135023674	0.286	0.998	1.36866658481398e-88
"ADM"	9.78958911193322e-93	1.56053859158959	0.821	0.027	2.31141988521855e-88
"PAX8"	1.43591753355842e-92	-1.67389374110491	0.379	1	3.39034488848479e-88
"NFKBIA"	2.3326610380068e-92	2.17416878476703	1	0.92	5.50764597683786e-88
"ARHGAP29"	1.37946620167428e-91	-1.72650965536071	0.942	1	3.25705764877314e-87
"AURKAIP1"	2.06902635030182e-91	-1.29170926361628	0.973	1	4.88517811569762e-87
"STUB1"	4.06276967213484e-91	-1.43677176584137	0.545	1	9.59260547287758e-87
"ARPC1B"	1.16567225396754e-90	-1.568169588962	0.768	1	2.75226875884276e-86
"ZNF34"	2.19695879172298e-90	1.26845195819979	0.821	0.04	5.18723940313713e-86
"TAF1D"	4.09085807608787e-90	1.49484891769977	0.996	0.751	9.65892500345107e-86
"HSPA8"	6.88969010460851e-90	-1.4871792042394	0.893	1	1.62672473059912e-85
"PHGDH"	3.34408124081269e-89	-1.70597047816537	0.562	0.995	7.89571021768285e-85
"EPB41L4A-AS1"	1.940006043935e-88	1.48801152908948	1	0.644	4.58054827033493e-84
"TXNIP"	5.53130682501486e-88	2.09367825304937	0.996	0.458	1.30599685445426e-83
"EID2"	2.50940864788113e-87	1.61692267118457	0.996	0.863	5.92496475851213e-83
"JAK1"	3.71954940353303e-87	-1.34621549979758	0.446	0.998	8.78222809668183e-83
"RAB11FIP4"	4.80079911835828e-87	-1.36599941714475	0.134	0.96	1.13351667983557e-82
"SNAPC1"	1.39456409699911e-86	1.77108249312506	0.951	0.239	3.29270528942459e-82
"BRD2"	2.5444713808798e-86	1.32273288714679	0.996	0.806	6.00775137739529e-82
"PPFIBP1"	5.35683536547997e-86	-1.43797547135036	0.562	0.995	1.26480239814348e-81
"SNHG12"	6.49610742119058e-86	1.39318137991483	0.893	0.137	1.53379592321731e-81
"SDF2L1"	1.3924005370104e-85	-1.22726807381525	0.156	0.975	3.28759690793525e-81
"KRT7"	1.58737150820705e-85	-1.29749478714125	1	1	3.74794286802766e-81
"HSPE1"	2.19383560769424e-85	-1.17418927854522	0.996	1	5.17986525332686e-81
"PRPF38B"	2.39536184020654e-85	1.32783633207163	0.991	0.848	5.65568884091166e-81
"CBR1"	2.59859149355309e-85	-1.32308052226087	0.223	0.98	6.1355343754282e-81
"ID2"	3.14299121176218e-85	1.86265160214059	0.991	0.741	7.42091655009169e-81
"EPRS"	4.80770973172214e-85	-1.39009164916458	0.438	0.995	1.13514834475691e-80
"TPT1"	6.59870971777756e-85	-0.85465161108332	1	1	1.55802135146446e-80
"ID1"	1.31928649224914e-84	1.72465374240707	1	0.993	3.11496733684944e-80
"PRXL2A"	2.1008545252923e-84	-1.23591202116902	0.344	0.985	4.96032761966765e-80
"EPHA2"	2.14880896524132e-84	1.31866680488435	0.987	0.908	5.07355284783128e-80
"ATF4"	4.05910157321361e-84	1.19140620068627	1	0.983	9.58394472451464e-80
"AP2M1"	6.59950295402349e-84	-1.12755463981601	0.848	1	1.55820864247449e-79
"EEF1A1"	7.63264064058021e-84	-0.742866405740517	1	1	1.80214278164739e-79
"RBM39"	2.86440598227899e-83	1.00226599232202	1	0.99	6.76314896475893e-79
"CLK4"	3.07359174927145e-83	1.18373892804024	0.853	0.104	7.25705747920481e-79
"PFDN2"	3.79279604326682e-83	1.01901391748601	1	1	8.95517073775728e-79
"RPL3"	3.99471478737022e-83	-0.701617565334191	1	1	9.43192108445982e-79
"ZNF706"	1.26028122403727e-82	-1.3230600217932	0.46	0.993	2.97564999807439e-78
"TRA2B"	3.12324041073155e-82	1.3096655213427	1	0.938	7.37428293377825e-78
"NXF1"	3.74557219097479e-82	1.20217490843685	0.933	0.194	8.84367050011058e-78
"EIF5"	5.49314939130952e-82	1.1448559466945	0.996	0.99	1.29698750278209e-77
"MRPL12"	6.2440936117639e-82	-1.29356790530084	0.504	1	1.47429294267357e-77
"HMGCS1"	1.42005967665356e-81	-1.42097336424522	0.339	0.985	3.35290290254672e-77
"RPLP0"	3.21437374829615e-81	-0.754493621172651	1	1	7.58945785710205e-77
"ANKRD1"	3.37684394281666e-81	1.37101872727443	0.804	0.067	7.97306623338441e-77
"BRIX1"	8.67152946148125e-81	1.15889984388006	1	0.96	2.04743482115034e-76
"ATP5F1A"	1.0101613737357e-80	-1.16210286629872	0.759	1	2.38509201952736e-76
"PDRG1"	1.7023949626866e-80	1.14816761506991	0.946	0.249	4.01952474639934e-76
"TNFAIP3"	2.2261168764806e-80	1.18920043806576	0.746	0.03	5.25608455705834e-76
"TMEM223"	2.8497200506988e-80	-1.12029572479732	0.129	0.945	6.72847401170493e-76
"CCN1"	4.85749638753122e-80	1.317211489868	1	0.779	1.14690347206e-75
