"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPL37"	3.75482689906098e-88	0.327691668386582	1	1	8.86552179137289e-84
"RPL39"	9.78671892494753e-82	0.343061804549553	1	1	2.31074220536936e-77
"RPS27"	1.6098804813574e-71	0.374425307624709	1	1	3.80108880453295e-67
"SCD"	5.19669480083104e-69	0.556481563150004	1	1	1.22699160942422e-64
"RPS21"	5.41987514180137e-67	0.320665464916058	1	1	1.27968671973072e-62
"RPS29"	3.32832127252254e-60	0.261537277408348	1	1	7.85849935655296e-56
"RPL41"	4.96098891854323e-60	0.332862230351874	1	1	1.17133909355724e-55
"RPS28"	4.54948777540535e-59	0.327203043033822	1	1	1.07417955865096e-54
"RPL34"	2.93971093512597e-56	0.366888851168986	1	1	6.94095148892592e-52
"RPL36"	4.17954893795766e-54	0.294531800402136	1	1	9.86833299741183e-50
"RPL37A"	6.10435082579394e-54	0.275670542450292	1	1	1.44129827347821e-49
"RPL36A"	2.14918744564136e-53	0.290653952829281	1	1	5.07444647790381e-49
"RPS8"	3.9184196612052e-53	0.296756383164963	1	1	9.25178066207161e-49
"RPL28"	1.59759862596802e-39	0.258527209636945	1	1	3.7720901157731e-35
"RPS12"	6.35338971014536e-38	0.258154847353301	1	1	1.50009884446242e-33
"PSAP"	2.27631613794517e-37	0.334741721094776	1	1	5.37461003330234e-33
"RPS15A"	9.10730128770829e-37	0.260340765324235	1	1	2.15032490704081e-32
"FASN"	8.63956318213622e-34	0.383147803341798	1	1	2.03988726293418e-29
"FADS2"	2.85900186788176e-33	0.441964007749415	0.975	0.938	6.75038931025562e-29
"PEG10"	3.36281368810756e-33	0.510555798341402	0.964	0.826	7.93993939899077e-29
"TMSB10"	5.83777788804724e-30	0.278216629736977	1	1	1.37835773714683e-25
"HMGCS1"	3.30532485371915e-26	0.437603122547618	0.996	0.956	7.80420251211628e-22
"C4orf48"	1.0998245018723e-21	0.315890224165672	0.996	0.974	2.59679563137069e-17
"ATP5ME"	3.76006057064808e-19	0.252842038027008	1	1	8.87787901335718e-15
"GAS5"	9.1305199377284e-18	0.268295197305568	1	1	2.15580706249705e-13
"ASS1"	7.95507153018648e-16	0.269181985835296	0.987	0.951	1.87827193899233e-11
"GRINA"	6.22758763915158e-15	0.256169669530858	0.977	0.925	1.47039571748008e-10
"JPT1"	6.66592856723622e-15	-0.257361763973855	1	1	1.57389239401014e-10
"FDFT1"	1.06035775980086e-14	0.281994205698894	0.968	0.899	2.5036107066658e-10
"TUBA1A"	6.83107608708305e-14	0.344068006958415	0.755	0.578	1.61288537492118e-09
"MUC1"	1.32604482239408e-13	0.335738481705585	0.909	0.826	3.13092443015465e-09
"LSS"	1.4434647523463e-13	0.3265547930119	0.844	0.731	3.40816462676486e-09
"INSIG1"	7.95692249317337e-13	0.262717038573537	0.717	0.51	1.87870896986316e-08
"LENG8"	9.18897685100106e-13	0.257984104550061	0.937	0.894	2.16960932428986e-08
"ITGB5"	9.77596773147152e-13	0.309253945779325	0.729	0.56	2.30820374107774e-08
"RAB11FIP4"	2.20573554851023e-12	0.250757562266338	0.996	0.977	5.20796220358749e-08
"NOXO1"	2.56504458578728e-11	0.253660370669978	0.662	0.477	6.05632677150235e-07
"TSC22D1"	1.02611264055257e-10	0.262369235618835	0.905	0.808	2.42275455560868e-06
"SNHG25"	1.15515280774179e-10	0.29181016878814	0.979	0.933	2.72743129435913e-06
"NME1"	2.02206224836001e-10	-0.279576327609656	0.911	0.964	4.77429117460283e-06
"MUC16"	2.03492743981251e-10	0.255653016148557	0.977	0.946	4.80466717814133e-06
"NDRG1"	2.66440430052343e-10	0.273233678154171	0.865	0.78	6.29092499396587e-06
"DLL3"	4.03377965620358e-10	0.250129705150894	0.789	0.642	9.52415714626226e-06
"LAMA3"	5.63821731827268e-10	-0.299369231316073	0.622	0.746	1.33123949101736e-05
"MT2A"	1.17429923417385e-09	0.273255672206175	0.932	0.896	2.77263792180789e-05
"SNHG9"	2.29046574938189e-09	0.256501845335823	0.968	0.917	5.40801868086558e-05
"FST"	2.71317722714287e-08	0.300730658742357	0.378	0.21	0.000640608275100704
"UPK1B"	3.31398518213979e-07	-0.265338354776783	0.653	0.756	0.00782465041355026
