"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPS26"	2.41849684144011e-127	0.295711110776154	1	1	5.71031289232425e-123
"COX8A"	6.03640311063331e-108	0.344006503718235	1	1	1.42525513845163e-103
"COX7C"	2.19606962936257e-101	0.26880440483845	1	1	5.18514000188797e-97
"RPL41"	1.37527274236149e-98	0.253562973326427	1	1	3.24715647198971e-94
"POLR2L"	1.79553275177171e-95	0.411275714771165	0.999	1	4.23943238020818e-91
"COX7A2"	4.22774159571367e-91	0.277605892052585	1	1	9.98212068163955e-87
"GAPDH"	4.74613193717455e-89	0.266330738938411	1	1	1.12060921168628e-84
"RPS29"	9.26552213175967e-89	0.286253921009246	1	1	2.18768243052978e-84
"RPL28"	2.57062852024616e-87	0.269460543383192	1	1	6.06951099915322e-83
"ATP5MG"	2.48962662105598e-86	0.288056694899064	1	1	5.87825741497528e-82
"OST4"	8.6118837507577e-73	0.288751701475613	1	1	2.0333518723914e-68
"TMEM258"	9.18302216095086e-72	0.322789306114435	0.999	1	2.16820336242211e-67
"COPS9"	1.09390813397748e-71	0.276175517167494	1	1	2.58282649513422e-67
"NDUFA6"	2.21835118400147e-71	0.378949633960949	0.992	0.976	5.23774898054587e-67
"NDUFC2"	2.34971758810032e-70	0.251108415687563	1	1	5.54791819726366e-66
"KRTCAP2"	3.45250030262227e-70	0.385724387108496	1	0.989	8.15169846452143e-66
"RPL36"	4.21137710561421e-69	0.313588548109119	1	1	9.94348248406572e-65
"ATP5PO"	6.7821515048574e-67	0.293901472937841	1	0.999	1.60133379181188e-62
"H1FX"	3.01556492341089e-66	0.415194045263271	1	0.999	7.12005034066545e-62
"UBC"	3.14106305036285e-66	0.386959282107799	1	0.999	7.41636396821172e-62
"ROMO1"	1.68138006734807e-64	0.398385613397367	0.99	0.943	3.96990647701554e-60
"COPE"	1.72941258261774e-64	0.26527913378297	1	0.998	4.08331604881874e-60
"PSMC5"	7.24135000280833e-61	0.367209630149937	0.982	0.938	1.70975514916308e-56
"DBI"	1.249512633123e-60	0.306537322260757	0.999	0.994	2.95022427806671e-56
"COX17"	4.25095642922523e-60	0.289990561974399	0.999	0.997	1.00369332250437e-55
"UQCR10"	3.331796809615e-59	0.311253058686921	1	0.999	7.86670544718198e-55
"ATP5MF"	1.9975088795317e-58	0.287628038227714	0.999	0.999	4.7163182154623e-54
"SERF2"	2.79389670250216e-58	0.257531987054995	1	1	6.59666950427785e-54
"NDUFB4"	3.38093141162977e-58	0.276319887340494	1	0.998	7.98271715599905e-54
"EIF3G"	1.12598593359858e-56	0.288325145435691	1	0.999	2.65856538781961e-52
"PSMD4"	1.17645382448992e-55	0.333344167745414	0.999	0.983	2.77772512500315e-51
"DYNLRB1"	2.00358519156445e-55	0.309257654729787	1	0.986	4.73066499580283e-51
"GUK1"	6.71733289728199e-55	0.448936203178958	0.961	0.879	1.58602947037725e-50
"CSTB"	1.0106598477172e-54	0.347411760543781	1	1	2.38626896644507e-50
"LSM4"	3.8757525866149e-54	0.296361247770649	0.999	0.991	9.15103943225644e-50
"PSMC3"	8.48217462652601e-54	0.313915032897784	0.99	0.965	2.00272625106906e-49
"EEF1D"	1.14056321087738e-53	0.280687079992984	1	0.999	2.69298379720259e-49
"NDUFB5"	1.24858173946155e-53	0.29043288106261	0.998	0.997	2.94802634504265e-49
"MIF"	7.48457563311611e-53	0.255697354877552	1	1	1.76718315273505e-48
"UQCRQ"	1.90694025158249e-52	0.282432708043176	0.998	0.996	4.50247662801142e-48
"ATP5MPL"	3.89882329774144e-51	0.261553954504913	1	0.999	9.20551168829731e-47
"MRPS7"	1.55685646638825e-50	0.309576983876942	0.999	0.986	3.6758938027893e-46
"UBE2V1"	4.72670934258268e-50	0.256533340675851	1	0.999	1.1160233428772e-45
"NDUFA3"	8.81802167906557e-50	0.34977631865096	0.973	0.927	2.08202309864417e-45
"ANAPC11"	7.22698450869397e-48	0.334708199227453	0.996	0.993	1.70636331234773e-43
"TSEN34"	5.29220167908809e-47	0.30318682649638	0.993	0.971	1.24954173844949e-42
"OAZ1"	5.44515354192117e-47	0.265972691353111	1	0.998	1.28565520278301e-42
"GPX4"	1.09233233228618e-46	0.266464698096341	1	0.998	2.5791058697609e-42
