"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"POLR2L"	6.76383815364668e-165	0.484329037674806	1	1	1.59700982645752e-160
"RPS26"	2.29166703368016e-141	0.266942816324256	1	1	5.41085503322223e-137
"COX8A"	2.90350149433434e-125	0.35110493357111	1	1	6.85545737827281e-121
"GAPDH"	4.70873493858418e-113	0.261644500632146	1	1	1.11177940634911e-108
"EIF3G"	1.30833748753822e-112	0.349010160935154	1	0.999	3.08911564182649e-108
"RPL35"	4.70931717710904e-106	0.269808702280361	1	1	1.11191687868722e-101
"RPLP2"	1.47253478629533e-105	0.253277155995059	1	1	3.47680188392191e-101
"COX7C"	9.60713225775712e-104	0.251177516558209	1	1	2.26833999737903e-99
"RPS15"	8.20510316329737e-101	0.251518973810944	1	1	1.93730690788614e-96
"RPL36"	6.6299365852788e-100	0.376207717458482	1	0.999	1.56539432715018e-95
"UBC"	2.73016305809257e-96	0.301287410734512	1	1	6.44618799646237e-92
"DYNLRB1"	5.25292395856342e-96	0.35507483636316	0.998	0.992	1.24026787585641e-91
"COPE"	1.55646366044184e-94	0.302955162091128	1	1	3.67496634866922e-90
"PSMD4"	1.26773564398295e-93	0.338939919483392	1	0.995	2.99325062900814e-89
"RPS29"	1.34161318455266e-93	0.29326915977709	1	1	3.16768289004728e-89
"CSTB"	7.35283873555793e-93	0.372918868582442	0.999	0.996	1.73607875385258e-88
"RPS20"	3.53591175139363e-92	0.268394458497812	1	1	8.3486412362155e-88
"TUBB4B"	2.26571640628913e-91	0.450321279794779	0.999	0.993	5.34958300688926e-87
"KRTCAP2"	1.34306392318128e-88	0.37242421259651	0.998	0.991	3.17110822902331e-84
"NDUFA6"	8.46272913855376e-88	0.351595461029903	0.996	0.974	1.99813497690393e-83
"OAZ1"	1.25029348734329e-85	0.294434166464473	1	0.997	2.95206795296624e-81
"MAF1"	1.66548296246393e-79	0.411473666814794	0.933	0.769	3.93237182267359e-75
"MT1F"	7.22690964720875e-79	0.483304208688604	0.982	0.966	1.70634563680246e-74
"GUK1"	3.71775934579169e-78	0.415041744392692	0.938	0.841	8.77800159134877e-74
"B3GAT3"	8.87395644340259e-77	0.396048529083955	0.65	0.325	2.09522985585179e-72
"COPS9"	3.58018907171399e-76	0.259834773527473	1	0.999	8.45318441722389e-72
"RBIS"	2.22879949141316e-75	0.323894934076927	0.994	0.978	5.26241847917562e-71
"COX6B1"	4.27736871262423e-75	0.26233487746212	1	1	1.00992952673771e-70
"DBI"	5.59051440028551e-75	0.303214345859836	0.999	0.99	1.31997635505141e-70
"OST4"	8.17778894721097e-75	0.26092724758942	1	1	1.93085774832598e-70
"UBL5"	1.38207740855961e-74	0.255673840312609	1	1	3.26322296935009e-70
"LMNA"	6.2352903014657e-74	0.300261264376409	1	0.999	1.47221439307907e-69
"ATP5MF"	1.24467598686389e-73	0.311499800479673	0.999	0.997	2.93880447258432e-69
"RPL31"	1.16593109682115e-71	0.268244321367981	1	1	2.75287991270442e-67
"ATP5IF1"	3.54797571454187e-71	0.319465288080927	0.996	0.992	8.37712545960481e-67
"MRPL41"	1.67202643003847e-69	0.404439373885825	0.934	0.839	3.94782160396383e-65
"EEF1D"	1.85126748673184e-69	0.279793665411129	1	0.999	4.37102766292254e-65
"ATP5ME"	6.34174840401109e-69	0.29635778101089	0.999	0.998	1.49735021567106e-64
"MRPS34"	8.64094796567962e-69	0.252529603031366	1	1	2.04021422417661e-64
"SSNA1"	1.11643273349924e-67	0.386637188271823	0.834	0.616	2.63600932706505e-63
"BSG"	2.63545031690093e-67	0.299791973116897	0.996	0.974	6.22256174323479e-63
"ROMO1"	2.64260795363341e-67	0.356628195657895	0.99	0.965	6.23946163932384e-63
"TMEM258"	3.78223853306019e-67	0.286775564747547	0.999	0.995	8.93024340040843e-63
"COX17"	4.69404055061408e-67	0.291998462918458	1	0.999	1.10830991440549e-62
"ADRM1"	1.18700659628983e-66	0.299495448192368	0.999	0.995	2.80264127449992e-62
"PHB"	1.49481545382556e-66	0.278852251590003	0.998	0.997	3.52940876802752e-62
"NDUFA1"	2.80449746543541e-66	0.317579791635543	0.994	0.986	6.62169896563955e-62
"TXNIP"	5.37599852354766e-66	0.436380064577642	0.993	0.983	1.26932701139484e-61
"H1FX"	1.21131350992058e-65	0.371703438653872	0.997	0.986	2.86003232827349e-61
"AAMDC"	1.23799387239239e-65	0.375437344354519	0.948	0.849	2.92302733210567e-61
"CIAO2B"	1.2784845042597e-65	0.341522142265129	0.99	0.949	3.01862976300759e-61
"GPX4"	4.57121396687425e-65	0.311184431911318	0.999	0.996	1.07930932971868e-60
"UQCR10"	3.44876262171788e-64	0.28488713992766	1	0.999	8.14287342613809e-60
"TMED9"	4.61691648544359e-64	0.310883529870594	0.984	0.941	1.09010015137809e-59
"RNF181"	6.09027016947591e-64	0.256961709165981	1	0.999	1.43797368971496e-59
"ANAPC11"	9.07703493998602e-64	0.318058617842639	0.994	0.988	2.1431787196801e-59
"ELOB"	1.29180482072075e-63	0.258227661505512	1	0.998	3.05008036220377e-59
"ARF1"	2.29154738163555e-63	0.281610594612402	0.998	0.996	5.4105725227797e-59
"AAMP"	8.42656234993361e-63	0.317686310337679	0.918	0.759	1.98959563644282e-58
"CD81"	2.28100869299382e-62	0.342934364723853	0.951	0.849	5.3856896250277e-58
"SIVA1"	9.96695575046146e-62	0.32689840005332	0.965	0.89	2.35329792224146e-57
"TNFRSF12A"	1.99506831358012e-61	0.441297686244768	0.933	0.846	4.71055579519402e-57
"UQCRQ"	3.18387894802247e-61	0.266148115722106	1	0.994	7.51745658417585e-57
"MRPS7"	3.87491497437453e-60	0.29309187113566	0.995	0.987	9.14906174599569e-56
"MT2A"	4.99751572569044e-60	0.579531412829116	0.999	0.994	1.17996343799277e-55
"PSMC5"	1.39136481665031e-59	0.289250675427805	0.984	0.968	3.28515146859304e-55
"NASP"	2.05805858953743e-58	0.369113522445804	0.948	0.873	4.85928213575683e-54
"ERP29"	2.7843094475481e-57	0.329143231729304	0.934	0.829	6.57403303660582e-53
"SLC25A1"	3.2454919740886e-57	0.333803539832834	0.921	0.802	7.6629311000206e-53
"AURKAIP1"	6.16113637214161e-57	0.323923370705828	0.988	0.964	1.45470590882636e-52
"ARPC1B"	2.69934707719087e-56	0.366824376032823	0.778	0.559	6.37342838395537e-52
"NDUFC1"	4.06903369850437e-56	0.260093348973366	1	0.997	9.60739546553867e-52
"PIN1"	8.03621265053797e-56	0.315296459025455	0.659	0.377	1.89743016891852e-51
