"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPS26"	9.08451278234657e-48	0.321918884911248	1	1	2.14494431303985e-43
"POLR2L"	6.74465897326326e-40	0.468093633916848	1	0.995	1.59248143017719e-35
"PSMD8"	9.06110607716713e-30	0.345334918569109	1	1	2.13941775587993e-25
"COX8A"	4.08790389526455e-28	0.329143829391308	1	1	9.65194988710913e-24
"LMNA"	1.40381588165034e-26	0.358856038606174	1	1	3.31454967816462e-22
"OAZ1"	8.03764710460303e-26	0.315335587759133	1	1	1.89776885786782e-21
"RNF181"	1.450008383302e-25	0.300766901694738	0.997	1	3.42361479381435e-21
"UBE2V1"	1.80435934178397e-25	0.307033568802032	1	0.997	4.26027284188612e-21
"PARK7"	3.25804898219357e-25	0.252746386332698	1	1	7.69257945185724e-21
"HMGN2"	3.45245963221536e-25	0.344470018209335	1	1	8.1516024376237e-21
"ATP5MPL"	3.51367613756764e-25	0.311050997555339	1	1	8.29614072841094e-21
"NDUFC2"	1.80096094651416e-24	0.291652195242665	1	1	4.25224889081458e-20
"KRTCAP2"	2.32063206017e-24	0.358782073172461	1	0.992	5.4792443572674e-20
"AAMDC"	2.46237771742859e-24	0.469601454786978	0.98	0.854	5.81392002862064e-20
"EIF3G"	7.66103311556954e-24	0.315204263683958	1	0.997	1.80884652891712e-19
"COX17"	1.07580902491618e-23	0.351054718132209	0.997	0.995	2.5400926887296e-19
"UBL5"	3.51172198982588e-23	0.262688658327451	1	1	8.29152679017789e-19
"BSG"	1.64360110712193e-22	0.32943883772856	0.993	0.963	3.8807065740256e-18
"SKP1"	2.35959592504124e-22	0.274945254250532	1	1	5.57124193861487e-18
"TPI1"	4.69023017428771e-22	0.254432309927649	1	1	1.10741024645107e-17
"ATP5MF"	8.31861651497517e-22	0.299237946819577	1	0.995	1.96410854535079e-17
"SPINT2"	1.30176325569638e-21	0.251475854615884	1	1	3.07359322302473e-17
"ECHS1"	1.3497377423777e-21	0.255831303664789	1	1	3.18686578352799e-17
"RPS20"	3.09257141058701e-21	0.264908056379427	1	1	7.30187035753699e-17
"HSP90AB1"	5.20015123237452e-21	0.301792990740487	1	1	1.22780770747595e-16
"CSTB"	1.03054713925987e-20	0.338646211488379	1	1	2.43322485050649e-16
