Combo_0	Combo_1	Combo_10	Combo_2	Combo_3	Combo_4	Combo_5	Combo_6	Combo_7	Combo_8	Combo_9	DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9
AC105219.4	ZSWIM8	NCOA5	UBXN7	MTA2	ATXN2L	ID4	AP000763.3	SMAD7	GOLGA8B	SNAPC1	LZTS2	CDH6	ITGB8	TRIO	TRIP12	LAMA3	JMJD1C	RORA-AS1	TRIM44	CPLANE1	KLHL24
ZNF224	CELF1	RFX3	ZNF34	GRAMD2A	SSB	SNIP1	ANKRD1	ANKRD1	ZNF224	SETD5	LENG8	AUTS2	LAMA3	CD47	D2HGDH	CENPE	SUOX	NHS	SLC38A1	LAMA3	JMJD1C
ID4	NACC1	SPRED3	TLE4	CBX8	GCNA	SETD2	GREB1L	AATK	KLHL29	TTBK2	CDK1	ATRX	SLC38A1	SMURF2	HSPA5	EZR	WSB1	REV3L	RAB11FIP4	SLPI	SPON1
KDM5C	BPTF	ZYG11A	MBNL2	ZSWIM4	NOM1	TPR	IQGAP3	CCDC18	SLC9A1	RSRP1	ZNF598	MYH9	ITPR2	SREBF1	MORN1	DST	AC138150.1	HSPA5	SPATA6L	H6PD	AKAP12
ZSWIM8	CHD2	RBM5	MN1	AC022509.2	ZZEF1	TRIM28	GOLGA8B	MEGF6	IGFL2-AS1	SSB	MIPOL1	LINC00630	ATRX	NEAT1	MON2	CD47	NINL	SLC38A1	SMURF2	TRIO	ZSCAN26
SNIP1	CRABP2	TPR	AVIL	GSE1	EIF5B	AC068282.1	ZNF546	SNHG12	ZNF440	AVIL	ACTG1	TTC3	ARHGAP29	AKAP12	AKAP12	RORA-AS1	DENND5B	MUC16	KIF20B	RAI14	AMDHD2
ATP13A3	SNIP1	AKAP8L	TNRC6B	TNRC6B	PTCD3	TMEM259	ZNF34	COL27A1	AC012291.3	SYNJ1	CFAP53	SREBF1	TM4SF1	SLC8A1	DHCR24	PRTG	XRN1	EMP1	PRDM5	SREBF1	DST
NOM1	ARFGEF2	AC012291.3	SSB	CRISPLD2	RCC1	BPTF	ZNF780B	TMC6	ATF3	KDM5C	HOXA-AS3	TRIP12	IGFBP2	ATRX	MIPOL1	REV3L	SOGA1	ARHGAP29	CATSPER2	MYO9B	ATF4
YJEFN3	ACTG1	GEN1	SMAD7	SHB	ANKRD1	DNHD1	SNIP1	S100A6	SPRED3	BRIP1	ERBB4	DIS3L2	SOGA1	HSPA5	SLC8A1	CIP2A	ITGB8	MYH9	ANXA1	ZDBF2	FBN2
DYRK1A	SNHG19	PPIL2	ZNF570	TPX2	ID4	KRT19	PPP6R3	SLFN5	ZNF778	LUZP1	PRTG	SEMA3B	LINC00630	RABGAP1L	EZR	ANKRD36C	RNF215	PRDM5	ADGRV1	LIPG	TPCN1
AC068282.1	IGFL2-AS1	CFAP44	USP43	ZBTB7B	BRD1	SMC4	RSRP1	AKAP8L	SKIL	NDUFC2	HSPA5	DENND5B	AC048341.1	LINC00630	BRWD3	SREBF1	AURKA	SLC8A1	MIPOL1	ANXA1	KRT81
CHERP	ZNF780B	PPP6R3	ZNF224	PDE4A	CEP350	H2AFX	CRK	LRRC75A	NFKBIA	TNFAIP3	PRPF38B	LRBA	HSPA5	TRIP12	KLHL24	NFATC2IP	RORA-AS1	DHCR24	CCDC171	SPATA6L	CALD1
BRIP1	SPRED3	S100A6	ELF3	SMG5	PRR14L	GOLGB1	ABL1	PMAIP1	PRR14L	TNPO2	IGSF9	PAX8-AS1	PGM2L1	CPLANE1	AKAP9	SOGA1	FBN2	LINC00630	TXNIP	AC138150.1	D2HGDH
TNPO2	NUP160	ANXA1	UBR5	NUP93	CHD2	KMT2D	IVNS1ABP	SERTAD1	ANKRD1	ZNF224	HMMR	HDAC7	CP	TM4SF1	PDPR	TM4SF1	LINC01194	HDAC7	IFT88	TRIB1	ITGB8
AP000763.3	EIF5B	RIF1	AP000763.3	TET3	ZNF34	ZSWIM8	CHERP	PSME4	MAPKAPK5	SNIP1	SPOCK2	RORA-AS1	CPLANE1	MYH9	C3	TENT4A	EZR	IGF2BP2	IFT172	TRNT1	PRKX
AATK	RBM4	EIF5B	ARID4A	SYNJ1	ZC3H13	LUZP1	NOM1	SLC39A14	ZNF34	PRKAA1	TPRN	PRTG	KANTR	IGF2BP2	MDM4	CENPF	CCNJL	HOXA3	CENPE	ZNF217	LAMA3
MIGA2	GEN1	TMC6	RSRP1	CAMTA1-DT	ATAD5	PRRC2A	SPDYA	AC022509.2	GCNA	GCNA	KRT81	REV3L	SPON1	MICAL3	BAZ2B	YEATS2	RAI14	ZYG11A	KANTR	TPCN1	EPS8L2
COL27A1	ID4	GOLGA8B	NDUFC2	BCL9L	CHERP	THAP7-AS1	ZNF335	CAV1	PPP6R3	POGZ	PRKX	YEATS2	LZTS2	BAZ2B	ZNF598	AKAP12	AGO2	RAB11FIP4	SLC8A1	LINC01194	AC012123.1
NFKB2	TPR	THAP7-AS1	UBE4B	CCND1	PPP6R2	PPP6R3	SPRED3	KLHL29	TPR	CRK	ATP8A1	FBN2	CYB5D2	RORA-AS1	ATF4	CEP192	TOP2A	PGM2L1	ESPL1	CYTH3	L1CAM
LATS2	CEP350	VPS8	ZNF292	CRK	S100A2	MKI67	CALD1	IER3	SNHG19	ARID4A	MTR	FUT9	ZDBF2	HOXA3	CCDC171	RAI14	PRDM5	ATRX	MKX	HDAC7	CENPF
ZBTB11	ZRANB2	BRD1	PHF12	RANGAP1	RBM4	NFKBIA	TPR	ZNF440	ZC3H13	NOP2	TRNT1	TRIO	MUC16	HDAC7	DFFA	IGF2BP2	VAV3	TM4SF1	MTR	DST	LHX1
CRABP2	POLQ	RBM4	FNDC3B	SEC16A	ZFX	MIGA2	NFKBIA	RSRC2	MCM7	NOC3L	GABPB1	BAZ2B	DENND5B	DENND5B	AC061992.2	MICAL3	MKI67	ZNF254	ARHGAP42	ITGB8	ZDBF2
AVIL	TNKS	CRK	TNFAIP3	SLC7A5	POLQ	PRRT2	RBM5	GADD45B	LIME1	ZNF490	LRRC75A	MIPOL1	FBN2	REV3L	RAI14	MFSD14C	DST	MICAL3	BOD1L1	VAV3	PRDM5
TET3	CFAP44	SUPT5H	SLFN12	AC105219.4	AGO3	PRR14L	RFX3	CASKIN1	ZBTB40	ACTG1	AC048341.1	CATSPER2	SRGAP3	DIS3L2	ITPR2	SLC38A1	ZYG11A	SOGA1	ANKRD36C	TNRC6A	CPLANE1
TNKS	ATXN2L	NFATC2IP	ARHGEF17	CASKIN1	PUM2	TNRC6B	NACC1	KLF10	KRT19	RSRC2	TMEM259	NHS	PRDM5	BRWD3	ZFYVE16	DIS3L2	SLC8A1	MIPOL1	TTC21B	ERBB4	MUC16
UBXN7	GOLGA8B	ZC3H13	AC022509.2	NFKB2	SNHG19	ATXN2L	DYRK1A	CBX8	ATXN2L	NUP153	FILIP1	SYNE2	MYH9	EMP1	JMJD1C	NEAT1	RIC8B	KANTR	SPON1	DENND5B	RORA-AS1
ZFX	MSL2	SNIP1	SYNJ1	LAMA5	LUC7L3	CHERP	ERVK13-1	CEP290	MT2A	SLFN12	ARHGEF2	SOS2	TRIP12	SEMA3B	DPY19L3	HOXA3	TRNT1	SPON1	FRMD5	POLQ	NCOA5
ELF3	COL27A1	LIME1	AATK	SERTAD1	MAPKAPK5	ZBTB40	THAP7-AS1	MARCKS	CFAP44	ROCK2	ZNF138	KANTR	RFX2	NMU	N4BP2	TPX2	LRP5	RIC8B	TM4SF1	ZRANB2	SLC38A1
ZNF780B	CRK	MAPKAPK5	ACTG1	MEGF6	ZNF570	MAPKAPK5	KRT19	RAVER1	SNHG12	SLC38A2	SPRY1	ARFGEF2	ZNF254	L1CAM	KANTR	ZYG11A	FBXL19	PAX8-AS1	VPS8	POLG2	CYTH3
SYNJ1	GCNA	SETD2	PRRC2A	UBXN7	KMT2D	AURKA	CELF1	AP000763.3	ZNF490	GABPA	DPY19L3	HOXA3	FUT9	DHCR24	OTOF	KIF14	CCDC18	TRIP12	ATAD2	ZNF254	FRMD5
SEC16A	PUM2	ID4	AHDC1	ACTG1	CRAMP1	SKIL	CATSPERG	C1orf116	MRC2	SYT1	AC061992.2	ITPR2	SLC8A1	KANTR	ZNF138	SRGAP2	ULK1	ANKRD36C	ASPM	MUC16	FBXL4
CELF1	ZC3H13	CEP350	DCAF5	RELT	ZNF562	ZNF34	ZNF490	CXCL1	ID1	ZNF570	MCF2L-AS1	DST	TRIB1	CCNJL	SPOCK2	SMURF2	ESPL1	MTR	PTPN13	CYB5D2	LENG8
H2AFX	IVNS1ABP	ANKRD1	MGA	CIART	ACTG1	ASH1L	ZNF224	ATAD5	ZSWIM8	ZZEF1	EPS8L2	LAMA3	NMU	CDC42BPB	AIFM2	TRIO	SOS2	BAZ2B	KIF14	PIP5K1A	C3
