DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9	RACi_0	RACi_1	RACi_10	RACi_2	RACi_3	RACi_4	RACi_5	RACi_6	RACi_7	RACi_8	RACi_9
KLHL24	CD9	TRIM66	HIST1H2BD	EZR	CD47	IGFBP2	IGFBP3	FANCL	IGFBP2	STOX2	NFKB2	NUP160	SLC9A1	KMT2D	CREBRF	SETD2	JPH2	EIF5B	PTTG1	KRT19	SMAD7
SAMD4B	BMPR1B	PAX8	CDK6	MAP3K10	RND3	PBX1	MUC16	SMURF2	MYH9	KLHL24	AVIL	AHCTF1	PRR14L	KMT2C	UBE2C	NOM1	HJURP	ABL1	HSP90AA1	ZNF546	SLC38A2
MAST1	AUTS2	LINC00630	SMURF2	ITGB8	DST	ASPM	LINC00630	TXNIP	RND3	CD9	ID4	CRK	GLCE	FRY	ID2	CEP350	CCDC18	BDP1	ANKRD1	COL27A1	ATXN2L
LZTS2	ATRX	LAMA3	LINC00630	AMOTL2	PRTG	RORA-AS1	PRDM5	PRDM5	RAI14	DST	ZNF490	GOLGA8B	TPR	SLC7A7	ZBTB10	ERVK13-1	NFKBIA	ZNF780B	BEX2	LGALS3BP	FTH1
PCDH11X	MYH9	ITGB8	NEAT1	C3	SCAPER	KANTR	REV3L	CATSPER2	H6PD	GCC2	BRIP1	ERVK13-1	THAP7-AS1	TTBK2	NFKB2	COL27A1	KMT2D	NDUFC2	SNAPC1	BPTF	DYRK1A
CDK1	ATXN7	TM4SF1	TRIP12	TRIM66	ANK2	RNF215	ARHGAP29	RAB11FIP4	AC138150.1	HERC2	PRRC2A	CEP350	LIME1	FTH1	ENPP1	ANKRD1	ZFX	NOM1	LUZP1	JPH2	CREBRF
IGFBP3	RORA-AS1	ZNF217	RORA-AS1	XRN1	TM4SF1	NINL	NFATC2IP	TTC3	LAMA3	PUS7L	ZFX	JPH2	MRPS25	ZSWIM4	AMOTL2	CHERP	KRT19	DYRK1A	COL27A1	LENG8	ARID4A
PRTG	TRIP12	SOGA1	TM4SF1	FAT2	SOGA1	TTC7B	ANKRD36	PIK3R3	SLPI	MAST1	ZBTB11	CRABP2	RBM5	UBE4B	ZBTB7B	ZC3H13	CRABP2	ATP13A3	INTS6	FTH1	MED13
SLC30A1	SETX	ARHGAP29	TRIO	AKAP12	DIS3L2	SOGA1	SCAPER	DAAM1	CCDC150	LIG3	USP43	ACTG1	GOLGB1	CSPP1	DOP1B	CRK	HMGB3	SCFD2	SCFD2	ATXN2L	CCDC85C
LIG3	VPS13A	ITPR2	DIS3L2	CFAP54	REV3L	RORA	ZNF362	ADGRV1	TRIO	RORA-AS1	ZNF224	SNIP1	FRY	TNFAIP3	BAHD1	FTH1	TNPO2	SPRED3	COL23A1	KLHL29	RSRP1
NBEAL2	PAX8-AS1	CYB5D2	ATXN7	XDH	CIP2A	SUOX	HSPA5	CENPE	PBX1	EPS8L2	HMGB3	ZFX	COL27A1	ID1	BHLHE41	RBM25	NOM1	TLE4	ZNF546	MCM7	ESCO2
ATF4	ZNF362	CCDC77	AKAP12	ATRX	SIM1	EMX2	BMPR1B	IFT172	ZDBF2	FAT2	NOM1	NFKB1	AL133523.1	BEX2	FTH1	S100A2	SURF6	GOLGA8B	THAP7-AS1	BMF	TNPO2
SPOCK2	CPEB3	TXNIP	CDC42BPB	RAI14	FANCL	SAMD4B	RUNX1	RORA	ZNF362	FAM83H	DYRK1A	BOD1L1	CRABP2	FBXL20	AHDC1	CHD2	CENPE	ANKRD1	KRT19	KLF10	S100A2
FTH1	NFATC2IP	DAAM1	DAAM1	RORA-AS1	DAAM1	EZR	MYH9	CD9	CPEB3	AKAP12	CRABP2	BEX2	ID4	ADCY9	AGRN	BOD1L1	HMMR	ZFX	PMAIP1	NFKB2	KLF10
HMMR	TSHZ2	IGFBP2	IGFBP3	AC061992.2	ANKRD36C	RAI14	PTHLH	KIF20B	PAX8	C3	RCC1	SURF6	NDUFC2	BRIP1	SLC7A5	CRAMP1	KLHL29	SNIP1	YTHDC1	ESCO2	MGA
ACTG1	PRTG	PGM2L1	IGF2BP2	KLHL24	BMPR1B	ZNF697	TM4SF1	DACH1	DST	PEX1	AATK	ID4	ZNF335	AL353759.1	PCDH11X	BEX2	ZSWIM8	CCDC85C	CENPE	ZNF335	ZNF224
GATD1	RUNX1	MUC16	ATRX	MDM4	RAI14	PRDM5	GAB1	ESPL1	RORA	MUC16	OTUD7B	SLC9A1	SLF2	S100A2	NDUFC2	SURF6	LUZP1	ATAD5	WFDC2	PTTG1	ZNF34
CFAP53	SCAPER	SLC16A5	HSPA5	BRWD3	ASB16-AS1	AURKA	IGF2BP2	KANTR	SLC16A5	LENG8	ID1	SNHG19	BEX2	BPTF	PLXNB2	ATXN2L	SMC4	TPR	CASKIN1	ID2	UBR5
IGSF9	PLD1	PRDM5	ZNF697	DFFA	GAB1	ITGB8	DAAM1	TTC7B	LIPG	LHX1	SOX6	SAMD4A	ATF3	NLK	TOP2A	AGO3	AC068282.1	AGO3	GOLGB1	CRABP2	SKIL
AL133523.1	MALAT1	AC048341.1	MYH9	GAB1	AKAP12	AGO2	VPS13A	TM4SF1	ITGB8	AC012123.1	YTHDC1	ZNF736	ZSWIM8	TNRC6B	JPH2	PRR14L	AATK	ZC3H13	AL353759.1	ERVK13-1	PTCD3
XDH	CATSPER2	ATRX	BAZ2B	CCDC150	CENPF	FNBP4	DIS3L2	TPX2	RORA-AS1	PLAU	CHERP	RIF1	HERC2	JPH2	NUP93	EIF5B	PTCD3	SKIL	SLF2	MRPS25	MAP3K8
AC061992.2	SEMA3B	BCL2L11	ZFYVE9	MAST1	FAT2	PPM1B	RAB11FIP4	CPEB3	HIST1H2BD	PRDM5	ESCO2	IVNS1ABP	RBM25	AATK	MEGF6	ZNF562	RSRC2	RBM5	LGALS3BP	MFSD3	BHLHE41
TRIM66	TTC3	CCDC191	VPS13A	ZMYM6	CPEB3	DST	CDK6	MTR	ZRANB2	LAMA3	PAN2	CFAP44	CIP2A	PTGER4	ZNF598	ZNF493	ZC3H13	HMGB3	CEP350	HIST1H2BJ	SLFN12
SNX21	CDC42BPB	KANTR	NMU	ZFYVE16	WSB1	CATSPER2	MALAT1	CCDC77	CYB5D2	ITGB8	CCDC18	COL27A1	AHCTF1	MGA	ZSWIM4	SNHG12	ATXN2L	SLC9A1	ATAD5	ZNF34	CRK
LIME1	REV3L	GAB1	TP53INP1	NEAT1	CEP192	CDC42BPB	PGM2L1	ANKRD36C	HDAC7	L1CAM	CREBRF	TNRC6A	RNF215	NOM1	SNAPC1	RBM4	NOP2	YTHDC1	PTOV1-AS1	NFKBIA	OGA
EPS8L2	SYNE2	LZTS2	HDAC7	AC138150.1	NEAT1	MKI67	SOGA1	ATAD2	MUC16	ANK2	TET3	ZNF780B	KRT19	AHDC1	GSE1	LUC7L3	ATAD5	ITGA3	AP000763.3	EIF5B	KHDC4
ANKRD52	NHS	NMU	CYB5D2	BMPR1B	SLF2	LRP5	WSB1	NFKB1	ASB16-AS1	KRT81	PCF11	LINC00174	LINC00174	C16orf87	SOX6	SNHG19	ZNF546	JPH2	LINC00174	HMGB3	NUFIP2
MUC16	HDAC7	TRIP12	REV3L	SPOCK2	LINC00630	CYB5D2	PAX8-AS1	PPM1L	ZNF217	AC138150.1	AL353759.1	EIF5B	HMGB3	AP000763.3	CASKIN1	TPR	GPSM2	LINC00174	MEGF6	PTCD3	RSRC2
SPRY1	ZFYVE9	PIK3CA	BRWD3	LENG8	IGF2BP2	NEAT1	MAP3K10	TSHZ1	DSEL	CATSPER2	COL27A1	NUFIP2	ZFX	MT2A	BCORL1	KMT2D	ZNF34	AGO2	TLE4	FNBP4	NUP160
MTR	RND3	ZDBF2	MRPS25	ITPR2	MALAT1	LINC00630	CPEB3	DIS3L2	NHS	PTHLH	NOP2	SPRED3	SPRED3	UBR5	BCL9L	PTCD3	PTTG1	PPIL2	ESCO2	SAMD4B	ZNF490
MCF2L-AS1	ANKRD36	CD47	WSB1	TRIM44	SMURF2	MUC16	HDAC7	PGM2L1	RNF215	ATF4	CCNL2	CRAMP1	JPH2	MAP3K8	CRABP2	GABPA	BOD1L1	CHERP	TMC6	WFDC2	BRIP1
CEP78	BAZ2B	HSPA5	PRDM5	ATF3	TENT4A	THEMIS2	TSHZ2	AC061992.2	PLB1	EZR	KDM5C	SEMA3B	CATSPERG	YTHDC1	SHB	LINC00174	CHERP	LGALS3BP	CRISPLD2	FRY	POGZ
KRT81	WSB1	CATSPER2	GAB1	BAZ2B	TP53INP1	LIG3	CDC42BPB	AKAP12	SCAPER	ZDBF2	ROCK2	HERC2	EIF5B	SLC38A2	HDAC7	NOP2	PRR14L	AHCTF1	ZBTB10	HSP90AA1	HIST1H2BJ
AC048341.1	GAB1	IGFBP3	TRIM66	HSPA5	CEP97	TRIP12	UACA	INPP5B	GATD1	CCDC150	SNIP1	MRPS25	CFAP44	PRRC2A	ACTG1	ATP13A3	SOX6	KMT2D	KIF20B	CFAP53	ZNF570
ANKHD1	TRIO	FCSK	HOXA3	N4BP2	IKBKB	ESPL1	TRIP12	BOD1L1	TRIB1	THEMIS2	KRT19	TMC6	SAMD4A	RSRP1	SKI	CRABP2	ARID4A	BPTF	AURKA	AL133523.1	CCDC186
CAMTA1-DT	TTC7B	ADGRV1	SOGA1	GATD1	VPS13A	RND3	ATRX	YTHDC1	MGAT3	SOGA1	GRAMD2A	AGO3	SETD2	MAP3K2	AREG	ZNF736	ID1	KDM5C	ARID4A	SPRY1	ACTG1
AC022509.3	DAAM1	DIS3L2	AMOTL2	AIFM2	XRN1	IFT172	HOXA3	ZFYVE9	TP53INP1	NMU	LUZP1	C1orf159	RIF1	BMF	PLXNA3	SCFD2	ZNF335	NFKBIA	FBXO5	PRRC2A	CHD2
ZMYM6	FANCL	PPM1B	RNF215	KANTR	ATXN7	TP53INP1	KANTR	RNF213-AS1	RNF207	PLD1	CCDC186	ZC3H13	ZKSCAN8	NOP2	UBXN7	SMC4	SLFN12	TNPO2	ADCY9	DSEL	ZFX
ZBTB7A	XRN1	CCDC150	ZMYM6	SIM1	TRIO	MAP3K10	FANCL	KCNMB3	CDC42BPB	ZMYM6	SCAF1	XIST	ZNF34	COL27A1	REXO1	POGZ	CCDC85C	KRT19	SHB	IVNS1ABP	SPEN
WFDC2	DST	NFATC2IP	SETX	ABCA1	MNS1	ADGRV1	ATXN7	LRP5	TNRC6A	ABCA1	CCDC85C	DYRK1A	COL23A1	ENC1	PMAIP1	LGALS3BP	ESCO2	TENT4A	ZBTB7B	TPR	NDUFC2
ATF3	CYB5D2	CPEB3	NHS	NHS	CYB5D2	RAB11FIP4	H6PD	ZNF709	IFT172	GLCE	PTCD3	ZRANB2	CHD2	AC068282.1	EIF5B	PRRC2A	SKIL	ZNF562	CAV1	CRK	SOX6
