DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9	EZH2i_0	EZH2i_1	EZH2i_10	EZH2i_2	EZH2i_3	EZH2i_4	EZH2i_5	EZH2i_6	EZH2i_7	EZH2i_8	EZH2i_9
PTTG1	LIMD1	AC048341.1	MSLN	ELF3	TOP2A	AGO2	LIMD1	CDK6	ASB16-AS1	LGALS1	KDM5C	LINC01473	OGDHL	PCNX2	ZNF778	SYNE2	FNBP4	SYNE2	FMR1	PKN3	NUP210
PLEC	RABGAP1L	GRHL2	MSI2	PTTG1	SMC1A	SALL4	CCN1	IER3	SNHG12	SLPI	PLXNB2	TPTE	PTPRM	RBMS2	FMR1	CDC27	ANKRD6	PTPRM	CKAP2	CDCA8	KIFC1
TPR	IGF2BP2	LAMA3	TNFRSF10B	XRN1	FANCA	ELF3	ATRX	RAB11FIP4	ERVK13-1	LHX1	ARID4A	TANC2	HDAC7	CCDC144NL-AS1	RBM33	ITGB8	GPR156	SIPA1L3	CEP85L	KPNA2	GYG2
KRT81	ACTN4	CENPU	PISD	CA2	TMEM94	EMX2	BCL2L1	ZNF592	UBE2C	S100A1	ANKRD62	DIP2B	PLEC	TPRA1	KIFC1	KIF2C	TMCC3	DST	CCDC14	PRRT2	FAT3
MLLT6	UGDH	IER3	CCN1	RBM4	UACA	SNHG9	PISD	CENPU	GIGYF1	ITGA3	SON	ARHGAP29	RHEX	ERBB4	TTC14	CCDC144NL-AS1	AHDC1	OSBPL10	DCDC1	ID2	RSF1
ZMAT1	HDAC7	AMOTL2	MCM7	ANKRD50	MBNL1	TMEM94	TMEM94	FAM117B	FBRSL1	CDK1	MUC1	MICAL3	ERVK13-1	DNAJC11	ARHGAP29	CLSPN	LAPTM4B	TUBA1A	TMEM100	CAMKK1	TET1
HMMR	RERE	ZDBF2	ZNF708	ARHGEF2	POLA1	FBN2	AURKB	FTH1	SMG5	TTC39B	BRCA2	RHEX	RIPK4	PTBP2	BRWD1	KIF11	CRY2	IGF2BP2	ANK2	PRC1	CCNB1
CANX	CELF1	TUBB	NABP1	TROAP	NFATC2IP	PLXNA1	LIPG	NMU	OPHN1	C3	MALAT1	RAI14	CAMKK1	MUC16	CKAP2	DYRK1A	ASPM	CDK6	KIF20B	H6PD	IQGAP3
SLC26A7	NKAIN1	XRN1	PAX8	ZBTB18	ACTN4	MSLN	KHDC4	FANCL	NOD1	LINC01424	S100A2	LGR4	AR	KMT2C	AL353759.1	HMGCS1	ABL1	NEMF	AR	WSB1	MIS18BP1
S100A1	SIPA1L3	CSRNP1	SLC48A1	SYT12	XRN1	SIM1	AK3	LINC00630	NMU	DDX11	BRICD5	PTBP2	CDK18	NEMF	ZBTB49	WDR62	SIK3	PIP5K1A	TXNIP	WASHC1	CEP55
